member,bill_label,evidence_ref,congress,bill_type,number,official_title,sponsor_bioguide,sponsor_name,introduced_date,latest_action_date,latest_action_text,congress_gov_url
Barr,TABS Act,EBarr6,118,HR,1382,TABS Act of 2023,B001282,"Rep. Barr, Andy [R-KY-6]",2023-03-07,2023-03-07,Referred to the House Committee on Financial Services.,https://www.congress.gov/bill/118th-congress/house-bill/1382
Barr,TABS Act,EBarr6,119,HR,654,TABS Act of 2025,B001282,"Rep. Barr, Andy [R-KY-6]",2025-01-23,2025-01-23,Referred to the House Committee on Financial Services.,https://www.congress.gov/bill/119th-congress/house-bill/654
Barr,Rectifying UDAAP Act,EBarr6,118,HR,6789,Rectifying UDAAP Act,B001282,"Rep. Barr, Andy [R-KY-6]",2023-12-14,2023-12-14,Referred to the House Committee on Financial Services.,https://www.congress.gov/bill/118th-congress/house-bill/6789
Barr,Rectifying UDAAP Act,EBarr6,119,HR,1652,Rectifying UDAAP Act,B001282,"Rep. Barr, Andy [R-KY-6]",2025-02-27,2025-02-27,Referred to the House Committee on Financial Services.,https://www.congress.gov/bill/119th-congress/house-bill/1652
Cramer,Protecting Access to Credit for Small Businesses Act,E1,118,S,3992,Protecting Access to Credit for Small Businesses Act,S001184,"Sen. Scott, Tim [R-SC]",2024-03-20,2024-03-20,Read twice and referred to the Committee on Small Business and Entrepreneurship.,https://www.congress.gov/bill/118th-congress/senate-bill/3992
Cramer,Protecting Access to Credit for Small Businesses Act,E1,119,S,2486,Protecting Access to Credit for Small Businesses Act,S001184,"Sen. Scott, Tim [R-SC]",2025-07-28,2025-07-28,Read twice and referred to the Committee on Small Business and Entrepreneurship.,https://www.congress.gov/bill/119th-congress/senate-bill/2486
Scott,Protecting Access to Credit for Small Businesses Act,E2,118,S,3992,Protecting Access to Credit for Small Businesses Act,S001184,"Sen. Scott, Tim [R-SC]",2024-03-20,2024-03-20,Read twice and referred to the Committee on Small Business and Entrepreneurship.,https://www.congress.gov/bill/118th-congress/senate-bill/3992
Scott,Protecting Access to Credit for Small Businesses Act,E2,119,S,2486,Protecting Access to Credit for Small Businesses Act,S001184,"Sen. Scott, Tim [R-SC]",2025-07-28,2025-07-28,Read twice and referred to the Committee on Small Business and Entrepreneurship.,https://www.congress.gov/bill/119th-congress/senate-bill/2486
Budd,Protecting Access to Credit for Small Businesses Act,E6,118,S,3992,Protecting Access to Credit for Small Businesses Act,S001184,"Sen. Scott, Tim [R-SC]",2024-03-20,2024-03-20,Read twice and referred to the Committee on Small Business and Entrepreneurship.,https://www.congress.gov/bill/118th-congress/senate-bill/3992
Budd,Protecting Access to Credit for Small Businesses Act,E6,119,S,2486,Protecting Access to Credit for Small Businesses Act,S001184,"Sen. Scott, Tim [R-SC]",2025-07-28,2025-07-28,Read twice and referred to the Committee on Small Business and Entrepreneurship.,https://www.congress.gov/bill/119th-congress/senate-bill/2486
