member,bioguide,contribution_date,amount,amount_num,contribution_type,contributor_name,payee_name,honoree_name_as_filed,filing_year,filing_period,filing_uuid,lda_url
Beatty,B001281,2022-03-10,2500.00,2500.0,feca,CULAC,BEATTY FOR CONGRESS,Rep. Joyce Beatty,2022,Mid-Year (Jan 1 - Jun 30),c809596c-366a-485b-8c71-0cebd0b1aa76,https://lda.gov/filings/public/contribution/c809596c-366a-485b-8c71-0cebd0b1aa76/print/
Beatty,B001281,2022-06-01,2500.00,2500.0,feca,CULAC,BEATTY FOR CONGRESS,Rep. Joyce Beatty,2022,Mid-Year (Jan 1 - Jun 30),c809596c-366a-485b-8c71-0cebd0b1aa76,https://lda.gov/filings/public/contribution/c809596c-366a-485b-8c71-0cebd0b1aa76/print/
Beatty,B001281,2023-02-21,2500.00,2500.0,feca,CULAC,BEATTY FOR CONGRESS,Rep. Joyce Beatty,2023,Mid-Year (Jan 1 - Jun 30),d7cd0f30-3895-4715-ada4-de3136c076bc,https://lda.gov/filings/public/contribution/d7cd0f30-3895-4715-ada4-de3136c076bc/print/
Beatty,B001281,2023-10-30,2500.00,2500.0,feca,CULAC,BEATTY FOR CONGRESS,Rep. Joyce Beatty,2023,Year-End (July 1 - Dec 31),93624f0a-fdf4-45e7-913b-e4c2225e2108,https://lda.gov/filings/public/contribution/93624f0a-fdf4-45e7-913b-e4c2225e2108/print/
Beatty,B001281,2023-10-30,5000.00,5000.0,feca,CULAC,BEATTY FOR CONGRESS,Rep. Joyce Beatty,2023,Year-End (July 1 - Dec 31),93624f0a-fdf4-45e7-913b-e4c2225e2108,https://lda.gov/filings/public/contribution/93624f0a-fdf4-45e7-913b-e4c2225e2108/print/
Beatty,B001281,2025-06-10,2500.00,2500.0,feca,AMERICA'S CREDIT UNIONS PAC,BEATTY FOR CONGRESS,Rep. Joyce Beatty,2025,Mid-Year (Jan 1 - Jun 30),6acc01c1-ff04-4b65-bbbb-84b5ea0d57c4,https://lda.gov/filings/public/contribution/6acc01c1-ff04-4b65-bbbb-84b5ea0d57c4/print/
Beatty,B001281,2025-07-14,2500.00,2500.0,feca,AMERICA'S CREDIT UNIONS PAC,BEATTY FOR CONGRESS,Joyce Beatty,2025,Year-End (July 1 - Dec 31),c19daac7-cd73-4fba-9a94-74508a609a96,https://lda.gov/filings/public/contribution/c19daac7-cd73-4fba-9a94-74508a609a96/print/
Beatty,B001281,2025-12-15,5000.00,5000.0,feca,AMERICA'S CREDIT UNIONS PAC,NEW VOICE PAC,Joyce Beatty,2025,Year-End (July 1 - Dec 31),c19daac7-cd73-4fba-9a94-74508a609a96,https://lda.gov/filings/public/contribution/c19daac7-cd73-4fba-9a94-74508a609a96/print/
Barr,B001282,2022-09-12,5000.00,5000.0,feca,CULAC,BUILDING AMERICA'S REPUBLICAN REPRESENTATION PAC,Rep. Andy Barr,2022,Year-End (July 1 - Dec 31),4774a561-a64a-4990-81c2-b2505cba6ec9,https://lda.gov/filings/public/contribution/4774a561-a64a-4990-81c2-b2505cba6ec9/print/
Barr,B001282,2023-03-28,5000.00,5000.0,feca,CULAC,"ANDY BARR FOR CONGRESS, INC.",Rep. Andy Barr,2023,Mid-Year (Jan 1 - Jun 30),d7cd0f30-3895-4715-ada4-de3136c076bc,https://lda.gov/filings/public/contribution/d7cd0f30-3895-4715-ada4-de3136c076bc/print/
Barr,B001282,2023-09-13,5000.00,5000.0,feca,CULAC,BUILDING AMERICA'S REPUBLICAN REPRESENTATION PAC,Andy Barr,2023,Year-End (July 1 - Dec 31),93624f0a-fdf4-45e7-913b-e4c2225e2108,https://lda.gov/filings/public/contribution/93624f0a-fdf4-45e7-913b-e4c2225e2108/print/
Barr,B001282,2024-07-26,5000.00,5000.0,feca,AMERICA'S CREDIT UNIONS PAC,"ANDY BARR FOR CONGRESS, INC.",Rep. Andy Barr,2024,Year-End (July 1 - Dec 31),84a0158c-daed-4dd7-86df-d2e5efb5ca90,https://lda.gov/filings/public/contribution/84a0158c-daed-4dd7-86df-d2e5efb5ca90/print/
Barr,B001282,2024-07-26,5000.00,5000.0,feca,AMERICA'S CREDIT UNIONS PAC,BUILDING AMERICA'S REPUBLICAN REPRESENTATION PAC,Andy Barr,2024,Year-End (July 1 - Dec 31),84a0158c-daed-4dd7-86df-d2e5efb5ca90,https://lda.gov/filings/public/contribution/84a0158c-daed-4dd7-86df-d2e5efb5ca90/print/
Barr,B001282,2025-02-20,5000.00,5000.0,feca,AMERICA'S CREDIT UNIONS PAC,"ANDY BARR FOR SENATE, INC.",Rep. Andy Barr,2025,Mid-Year (Jan 1 - Jun 30),6acc01c1-ff04-4b65-bbbb-84b5ea0d57c4,https://lda.gov/filings/public/contribution/6acc01c1-ff04-4b65-bbbb-84b5ea0d57c4/print/
Barr,B001282,2025-02-28,5000.00,5000.0,feca,AMERICA'S CREDIT UNIONS PAC,BUILDING AMERICA'S REPUBLICAN REPRESENTATION PAC,Andy Barr,2025,Mid-Year (Jan 1 - Jun 30),6acc01c1-ff04-4b65-bbbb-84b5ea0d57c4,https://lda.gov/filings/public/contribution/6acc01c1-ff04-4b65-bbbb-84b5ea0d57c4/print/
Barr,B001282,2025-12-15,5000.00,5000.0,feca,AMERICA'S CREDIT UNIONS PAC,"ANDY BARR FOR SENATE, INC.",Andy Barr,2025,Year-End (July 1 - Dec 31),c19daac7-cd73-4fba-9a94-74508a609a96,https://lda.gov/filings/public/contribution/c19daac7-cd73-4fba-9a94-74508a609a96/print/
Budd,B001305,2022-09-28,5000.00,5000.0,feca,CULAC,TED BUDD FOR SENATE,Ted Budd,2022,Year-End (July 1 - Dec 31),4774a561-a64a-4990-81c2-b2505cba6ec9,https://lda.gov/filings/public/contribution/4774a561-a64a-4990-81c2-b2505cba6ec9/print/
Budd,B001305,2023-06-06,5000.00,5000.0,feca,CULAC,BUILDING UP DEMOCRACY'S DREAM,Ted Budd,2023,Mid-Year (Jan 1 - Jun 30),d7cd0f30-3895-4715-ada4-de3136c076bc,https://lda.gov/filings/public/contribution/d7cd0f30-3895-4715-ada4-de3136c076bc/print/
Budd,B001305,2023-12-21,5000.00,5000.0,feca,CULAC,TED BUDD FOR SENATE,Sen. Ted Budd,2023,Year-End (July 1 - Dec 31),93624f0a-fdf4-45e7-913b-e4c2225e2108,https://lda.gov/filings/public/contribution/93624f0a-fdf4-45e7-913b-e4c2225e2108/print/
Budd,B001305,2025-12-30,5000.00,5000.0,feca,AMERICA'S CREDIT UNIONS PAC,BUILDING UP DEMOCRACY'S DREAM,Ted Budd,2025,Year-End (July 1 - Dec 31),c19daac7-cd73-4fba-9a94-74508a609a96,https://lda.gov/filings/public/contribution/c19daac7-cd73-4fba-9a94-74508a609a96/print/
Britt,B001319,2022-03-10,5000.00,5000.0,feca,CULAC,BRITT FOR ALABAMA INC,Katie Britt,2022,Mid-Year (Jan 1 - Jun 30),c809596c-366a-485b-8c71-0cebd0b1aa76,https://lda.gov/filings/public/contribution/c809596c-366a-485b-8c71-0cebd0b1aa76/print/
Britt,B001319,2022-06-01,5000.00,5000.0,feca,CULAC,BRITT FOR ALABAMA INC,Katie Britt,2022,Mid-Year (Jan 1 - Jun 30),c809596c-366a-485b-8c71-0cebd0b1aa76,https://lda.gov/filings/public/contribution/c809596c-366a-485b-8c71-0cebd0b1aa76/print/
Britt,B001319,2022-09-16,5000.00,5000.0,feca,CULAC,BRITT FOR ALABAMA INC,Katie Britt,2022,Year-End (July 1 - Dec 31),4774a561-a64a-4990-81c2-b2505cba6ec9,https://lda.gov/filings/public/contribution/4774a561-a64a-4990-81c2-b2505cba6ec9/print/
Britt,B001319,2023-03-15,5000.00,5000.0,feca,CULAC,ALABAMA FIRST PAC,Sen. Katie Britt,2023,Mid-Year (Jan 1 - Jun 30),d7cd0f30-3895-4715-ada4-de3136c076bc,https://lda.gov/filings/public/contribution/d7cd0f30-3895-4715-ada4-de3136c076bc/print/
Britt,B001319,2023-12-21,2500.00,2500.0,feca,CULAC,BRITT FOR ALABAMA INC,Sen. Katie Britt,2023,Year-End (July 1 - Dec 31),93624f0a-fdf4-45e7-913b-e4c2225e2108,https://lda.gov/filings/public/contribution/93624f0a-fdf4-45e7-913b-e4c2225e2108/print/
Britt,B001319,2024-12-11,5000.00,5000.0,feca,AMERICA'S CREDIT UNIONS PAC,ALABAMA FIRST PAC,Sen. Katie Britt,2024,Year-End (July 1 - Dec 31),84a0158c-daed-4dd7-86df-d2e5efb5ca90,https://lda.gov/filings/public/contribution/84a0158c-daed-4dd7-86df-d2e5efb5ca90/print/
Britt,B001319,2025-06-18,5000.00,5000.0,feca,AMERICA'S CREDIT UNIONS PAC,ALABAMA FIRST PAC,Sen. Katie Britt,2025,Mid-Year (Jan 1 - Jun 30),6acc01c1-ff04-4b65-bbbb-84b5ea0d57c4,https://lda.gov/filings/public/contribution/6acc01c1-ff04-4b65-bbbb-84b5ea0d57c4/print/
Britt,B001319,2025-12-30,1000.00,1000.0,feca,AMERICA'S CREDIT UNIONS PAC,BRITT FOR ALABAMA INC,Katie Britt,2025,Year-End (July 1 - Dec 31),c19daac7-cd73-4fba-9a94-74508a609a96,https://lda.gov/filings/public/contribution/c19daac7-cd73-4fba-9a94-74508a609a96/print/
Cramer,C001096,2022-07-18,2500.00,2500.0,feca,CULAC,CRAMER FOR SENATE,Sen. Kevin Cramer,2022,Year-End (July 1 - Dec 31),4774a561-a64a-4990-81c2-b2505cba6ec9,https://lda.gov/filings/public/contribution/4774a561-a64a-4990-81c2-b2505cba6ec9/print/
Cramer,C001096,2022-09-08,5000.00,5000.0,feca,CULAC,BADLANDS PAC,Sen. Kevin Cramer,2022,Year-End (July 1 - Dec 31),4774a561-a64a-4990-81c2-b2505cba6ec9,https://lda.gov/filings/public/contribution/4774a561-a64a-4990-81c2-b2505cba6ec9/print/
Cramer,C001096,2022-11-15,2500.00,2500.0,feca,CULAC,CRAMER FOR SENATE,Sen. Kevin Cramer,2022,Year-End (July 1 - Dec 31),4774a561-a64a-4990-81c2-b2505cba6ec9,https://lda.gov/filings/public/contribution/4774a561-a64a-4990-81c2-b2505cba6ec9/print/
Cramer,C001096,2023-09-07,5000.00,5000.0,feca,CULAC,BADLANDS PAC,Rep. Kevin Cramer,2023,Year-End (July 1 - Dec 31),93624f0a-fdf4-45e7-913b-e4c2225e2108,https://lda.gov/filings/public/contribution/93624f0a-fdf4-45e7-913b-e4c2225e2108/print/
Cramer,C001096,2023-12-06,2500.00,2500.0,feca,CULAC,CRAMER FOR SENATE,Sen. Kevin Cramer,2023,Year-End (July 1 - Dec 31),93624f0a-fdf4-45e7-913b-e4c2225e2108,https://lda.gov/filings/public/contribution/93624f0a-fdf4-45e7-913b-e4c2225e2108/print/
Cramer,C001096,2024-12-11,5000.00,5000.0,feca,AMERICA'S CREDIT UNIONS PAC,BADLANDS PAC,Rep. Kevin Cramer,2024,Year-End (July 1 - Dec 31),84a0158c-daed-4dd7-86df-d2e5efb5ca90,https://lda.gov/filings/public/contribution/84a0158c-daed-4dd7-86df-d2e5efb5ca90/print/
Cramer,C001096,2025-12-15,5000.00,5000.0,feca,AMERICA'S CREDIT UNIONS PAC,BADLANDS PAC,Kevin Cramer,2025,Year-End (July 1 - Dec 31),c19daac7-cd73-4fba-9a94-74508a609a96,https://lda.gov/filings/public/contribution/c19daac7-cd73-4fba-9a94-74508a609a96/print/
Emmer,E000294,2022-02-10,5000.00,5000.0,feca,CULAC,ELECTING MAJORITY MAKING EFFECTIVE REPUBLICANS,Rep. Tom Emmer,2022,Mid-Year (Jan 1 - Jun 30),c809596c-366a-485b-8c71-0cebd0b1aa76,https://lda.gov/filings/public/contribution/c809596c-366a-485b-8c71-0cebd0b1aa76/print/
Emmer,E000294,2022-02-10,5000.00,5000.0,feca,CULAC,EMMER FOR CONGRESS,Rep. Tom Emmer,2022,Mid-Year (Jan 1 - Jun 30),c809596c-366a-485b-8c71-0cebd0b1aa76,https://lda.gov/filings/public/contribution/c809596c-366a-485b-8c71-0cebd0b1aa76/print/
Emmer,E000294,2023-10-30,5000.00,5000.0,feca,CULAC,EMMER FOR CONGRESS,Rep. Tom Emmer,2023,Year-End (July 1 - Dec 31),93624f0a-fdf4-45e7-913b-e4c2225e2108,https://lda.gov/filings/public/contribution/93624f0a-fdf4-45e7-913b-e4c2225e2108/print/
Emmer,E000294,2023-10-30,5000.00,5000.0,feca,CULAC,ELECTING MAJORITY MAKING EFFECTIVE REPUBLICANS,Tom Emmer,2023,Year-End (July 1 - Dec 31),93624f0a-fdf4-45e7-913b-e4c2225e2108,https://lda.gov/filings/public/contribution/93624f0a-fdf4-45e7-913b-e4c2225e2108/print/
Emmer,E000294,2024-02-29,5000.00,5000.0,feca,AMERICA'S CREDIT UNIONS PAC,ELECTING MAJORITY MAKING EFFECTIVE REPUBLICANS,Tom Emmer,2024,Mid-Year (Jan 1 - Jun 30),7a60ec9c-8fe0-4680-b684-43480ea1546f,https://lda.gov/filings/public/contribution/7a60ec9c-8fe0-4680-b684-43480ea1546f/print/
Emmer,E000294,2025-02-28,5000.00,5000.0,feca,AMERICA'S CREDIT UNIONS PAC,ELECTING MAJORITY MAKING EFFECTIVE REPUBLICANS,Rep. Tom Emmer,2025,Mid-Year (Jan 1 - Jun 30),6acc01c1-ff04-4b65-bbbb-84b5ea0d57c4,https://lda.gov/filings/public/contribution/6acc01c1-ff04-4b65-bbbb-84b5ea0d57c4/print/
