member,bill_label,evidence_ref,filing_uuid,filing_year,filing_period,dt_posted,description_excerpt,lda_url
Barr,Taking Account of Bureaucrats Spending Act (TABS),EBarr6,579f0209-4eac-4933-b277-3978e56896a8,2025,1st Quarter (Jan 1 - Mar 31),2025-04-11T14:31:46-04:00,Protect the credit union tax exemption Support legislation and regulation that advance credit unions and their over 142 million members Support regulatory relief for credit unions Support holistic evaluation of regulatory burden on credit unions Support credit union field of membership expansion and modernization Support regulator- and bank-approved credit union-bank mergers Support modifying the ,https://lda.gov/filings/public/filing/579f0209-4eac-4933-b277-3978e56896a8/print/
Barr,Taking Account of Bureaucrats Spending Act (TABS),EBarr6,758dcddf-2136-44be-8215-baf436e320ba,2025,2nd Quarter (Apr 1 - June 30),2025-07-11T15:58:47-04:00,Protect the credit union tax exemption Support legislation and regulation that advance credit unions and their over 142 million members Support regulatory relief for credit unions Support holistic evaluation of regulatory burden on credit unions Support credit union field of membership expansion and modernization Support regulator- and bank-approved credit union-bank mergers Support financial incl,https://lda.gov/filings/public/filing/758dcddf-2136-44be-8215-baf436e320ba/print/
Barr,Taking Account of Bureaucrats Spending Act (TABS),EBarr6,aa11bc45-472a-4514-85c6-a2dfcfd9b8d0,2025,3rd Quarter (July 1 - Sep 30),2025-10-14T11:01:29-04:00,Protect the credit union tax exemption Support legislation and regulation that advance credit unions and their over 144 million members Support regulatory relief for credit unions Support holistic evaluation of regulatory burden on credit unions Support credit union field of membership expansion and modernization Support regulator- and bank-approved credit union-bank mergers Support financial incl,https://lda.gov/filings/public/filing/aa11bc45-472a-4514-85c6-a2dfcfd9b8d0/print/
Barr,Taking Account of Bureaucrats Spending Act (TABS),EBarr6,43e75f1f-32fe-40a2-92ee-b70fe92b74b7,2025,4th Quarter (Oct 1 - Dec 31),2026-01-12T15:01:24-05:00,Protect the credit union tax exemption Support legislation and regulation that advance credit unions and their over 144 million members Support regulatory relief for credit unions Support holistic evaluation of regulatory burden on credit unions Support credit union field of membership expansion and modernization Support regulator- and bank-approved credit union-bank mergers Support financial incl,https://lda.gov/filings/public/filing/43e75f1f-32fe-40a2-92ee-b70fe92b74b7/print/
Barr,Taking Account of Bureaucrats Spending Act (TABS),EBarr6,93c9dba6-1595-4335-aecb-7d63567571c4,2026,1st Quarter (Jan 1 - Mar 31),2026-04-14T10:06:48-04:00,Protect the credit union tax exemption Support legislation and regulation that advance credit unions and their over 145 million members Support regulatory relief for credit unions Support holistic evaluation of regulatory burden on credit unions Support credit union field of membership expansion and modernization Support regulator- and bank-approved credit union-bank mergers Support financial incl,https://lda.gov/filings/public/filing/93c9dba6-1595-4335-aecb-7d63567571c4/print/
Barr,Rectifying UDAAP Act,EBarr6,579f0209-4eac-4933-b277-3978e56896a8,2025,1st Quarter (Jan 1 - Mar 31),2025-04-11T14:31:46-04:00,Protect the credit union tax exemption Support legislation and regulation that advance credit unions and their over 142 million members Support regulatory relief for credit unions Support holistic evaluation of regulatory burden on credit unions Support credit union field of membership expansion and modernization Support regulator- and bank-approved credit union-bank mergers Support modifying the ,https://lda.gov/filings/public/filing/579f0209-4eac-4933-b277-3978e56896a8/print/
Barr,Rectifying UDAAP Act,EBarr6,758dcddf-2136-44be-8215-baf436e320ba,2025,2nd Quarter (Apr 1 - June 30),2025-07-11T15:58:47-04:00,Protect the credit union tax exemption Support legislation and regulation that advance credit unions and their over 142 million members Support regulatory relief for credit unions Support holistic evaluation of regulatory burden on credit unions Support credit union field of membership expansion and modernization Support regulator- and bank-approved credit union-bank mergers Support financial incl,https://lda.gov/filings/public/filing/758dcddf-2136-44be-8215-baf436e320ba/print/
Barr,Rectifying UDAAP Act,EBarr6,aa11bc45-472a-4514-85c6-a2dfcfd9b8d0,2025,3rd Quarter (July 1 - Sep 30),2025-10-14T11:01:29-04:00,Protect the credit union tax exemption Support legislation and regulation that advance credit unions and their over 144 million members Support regulatory relief for credit unions Support holistic evaluation of regulatory burden on credit unions Support credit union field of membership expansion and modernization Support regulator- and bank-approved credit union-bank mergers Support financial incl,https://lda.gov/filings/public/filing/aa11bc45-472a-4514-85c6-a2dfcfd9b8d0/print/
Barr,Rectifying UDAAP Act,EBarr6,43e75f1f-32fe-40a2-92ee-b70fe92b74b7,2025,4th Quarter (Oct 1 - Dec 31),2026-01-12T15:01:24-05:00,Protect the credit union tax exemption Support legislation and regulation that advance credit unions and their over 144 million members Support regulatory relief for credit unions Support holistic evaluation of regulatory burden on credit unions Support credit union field of membership expansion and modernization Support regulator- and bank-approved credit union-bank mergers Support financial incl,https://lda.gov/filings/public/filing/43e75f1f-32fe-40a2-92ee-b70fe92b74b7/print/
Barr,Rectifying UDAAP Act,EBarr6,93c9dba6-1595-4335-aecb-7d63567571c4,2026,1st Quarter (Jan 1 - Mar 31),2026-04-14T10:06:48-04:00,Protect the credit union tax exemption Support legislation and regulation that advance credit unions and their over 145 million members Support regulatory relief for credit unions Support holistic evaluation of regulatory burden on credit unions Support credit union field of membership expansion and modernization Support regulator- and bank-approved credit union-bank mergers Support financial incl,https://lda.gov/filings/public/filing/93c9dba6-1595-4335-aecb-7d63567571c4/print/
Cramer,Protecting Access to Credit for Small Businesses Act,E1,8ba5c3c0-1c2c-4a61-9527-dcd2c3349b34,2024,1st Quarter (Jan 1 - Mar 31),2024-04-22T16:14:56-04:00,Credit Card Interchange Fees - S. 1838 and H.R. 3881 - Credit Card Competition Act of 2023 Credit Union Loan Maturity Issues Issues related to access to financial services Credit Union Field of Membership issues Issues related to Credit Union Member Business Lending Caps S. 539 - Veterans Member Business Loan Act H.R. 4867 - Veterans Member Business Loan Act Issues related to housing Finance Refor,https://lda.gov/filings/public/filing/8ba5c3c0-1c2c-4a61-9527-dcd2c3349b34/print/
Cramer,Protecting Access to Credit for Small Businesses Act,E1,8ba5c3c0-1c2c-4a61-9527-dcd2c3349b34,2024,1st Quarter (Jan 1 - Mar 31),2024-04-22T16:14:56-04:00,Credit Union Member Business Lending Caps SBA 7(a) Loan Program S. 3992 Protecting Access to Credit for Small Businesses Act,https://lda.gov/filings/public/filing/8ba5c3c0-1c2c-4a61-9527-dcd2c3349b34/print/
