filing_year,filing_period,apra_matched_activities,apra_matched_clients,corpus_wide_activities
2022,first_quarter,8,4,45758
2022,second_quarter,199,168,46389
2022,third_quarter,293,233,45030
2022,fourth_quarter,288,223,44863
2023,first_quarter,79,73,45803
2023,second_quarter,76,67,45374
2023,third_quarter,70,61,45269
2023,fourth_quarter,66,56,45152
2024,first_quarter,72,58,47719
2024,second_quarter,273,238,46513
2024,third_quarter,241,216,45973
2024,fourth_quarter,195,173,46225
2025,first_quarter,30,28,51176
2025,second_quarter,17,17,51688
2025,third_quarter,18,16,50849
2025,fourth_quarter,15,14,49642
2026,first_quarter,10,10,45575
