quarter_label,filing_year,filing_period,client_name,classification
Q1 2022 (pre-ADPPA baseline),2022,first_quarter,TNC (US) HOLDINGS INC,industry
Q1 2022 (pre-ADPPA baseline),2022,first_quarter,ELECTRONIC TRANSACTIONS ASSOCIATION,industry
Q1 2022 (pre-ADPPA baseline),2022,first_quarter,"TWITTER, INC.",industry
Q1 2022 (pre-ADPPA baseline),2022,first_quarter,HONEYWELL INTERNATIONAL,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,INTERPUBLIC GROUP,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,AUTODESK INC,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,CUNA MUTUAL GROUP,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,AMERICAN FAMILY MUTUAL INSURANCE COMPANY,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,"H&R BLOCK MANAGEMENT, LLC",industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,RELX INC,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,PANASONIC CORPORATION OF NORTH AMERICA,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,THE NONPROFIT ALLIANCE,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,SECURITY INDUSTRY ASSOCIATION,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,"AMERICAN HONDA MOTOR CO., INC.",industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,"LIVERAMP, INC.",industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,ADVAMED:ADVANCED MEDICAL TECHNOLOGY ASSOCIATION,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,MAPLEBEAR INC. D/B/A INSTACART,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,SAP AMERICA INC.,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,AIRBNB,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,"INTUIT, INC. AND AFFILIATES",industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,OLIVE AI,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,"GARMIN INTERNATIONAL, INC.",industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,TNC (US) HOLDINGS INC,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,CLOUDFLARE,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,INFORMATION TECHNOLOGY INDUSTRY COUNCIL (ITI),industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,AMERICAN HONDA MOTOR CO INC (FORMERLY HONDA NORTH AMERICA),industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,NATIONAL RESTAURANT ASSOCIATION,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,RETAIL INDUSTRY LEADERS ASSOCIATION (RILA),industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,ROCK CENTRAL,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,"TWILIO, INC.",industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,"23ANDME, INC.",industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,INVITAE INC.,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,"AT&T SERVICES, INC.",industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,"BATH & BODY WORKS, INC.",industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,CARVANA,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,DELL INC.,industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,"META PLATFORMS, INC.",industry
Q2 2022 (ADPPA H.R.8152 introduced 2022-06-21),2022,second_quarter,"NIKE, INC.",industry
