release_id,date,bioguide_id,title,on_topic_reason
12777,2022-08-11,M000934,Sen. Moran Statement on FTC Notice on Data Privacy,"Calls for a clear federal standard for data privacy, cites his own Consumer Data Privacy and Security Act as the vehicle"
30534,2023-05-09,S001145,Schakowsky Statement on TikTok's Responses to Questions for the Record,"Explicitly calls for a comprehensive national consumer data privacy framework as the real fix"
33349,2023-06-08,S001145,Schakowsky Statement on Meta's Promotion of Child Exploitation,"We need a national consumer data privacy law -- direct advocacy for the comprehensive bill"
44878,2023-10-30,D000617,DelBene Welcomes Biden AI EO, Urges Congress to Act on Data Privacy,"Urges Congress to pass a strong national data privacy standard"
46474,2023-11-14,M001163,FEDSCOOP: House E&C Chair Critiques Biden's AI EO,"McMorris Rodgers -- APRA's own lead House sponsor -- calling for a comprehensive data privacy and security law"
49666,2023-12-20,S001145,Schakowsky Statement on FTC's Proposed COPPA Changes,"We must pass comprehensive data privacy legislation to protect all consumers online"
54877,2024-02-28,W000805,Warner Applauds EO Protecting Americans' Sensitive Personal Data,"Does not assuage the need for comprehensive data privacy legislation"
56945,2024-03-13,J000305,Rep. Sara Jacobs Votes Against TikTok Ban,"Votes no, argues we need comprehensive data privacy legislation instead"
57540,2024-03-20,D000617,Data Broker Legislation Continues Congress' Privacy 'Wack-A-Mole' Approach,"Calls for a strong national data privacy law that sets the rules of the road"
59350,2024-04-09,M000934,Sen. Moran Statement on Data Privacy Proposal,"Direct statement on the Cantwell/McMorris Rodgers discussion draft -- APRA's immediate precursor"
83241,2025-01-14,S001145,Schakowsky to Serve as Ranking Member...,"Still wants a bipartisan bill that would protect consumers' online data privacy post-APRA-death"
138073,2026-03-04,L000607,Rep. Sam Liccardo Forces Vote on Pentagon's Misguided AI Posture,"Waited 30 years for Congress to enact a simple data privacy statute that every industrialized nation has adopted"
140868,2026-03-26,M000934,Sen. Moran Reintroduces Legislation to Create Clear Federal Standard for Consumer Data Privacy,"Reintroduces the Consumer Data Privacy and Security Act -- direct successor-bill activity in this same fight"
