member,bioguide,in_house_registrant_client,contribution_date,amount,amount_num,honoree_name_as_filed,filing_year,filing_period,filing_uuid,lda_url
"Cantwell (Senate co-author of the discussion draft, not up for re-election, not retiring)",C000127,INFORMATION TECHNOLOGY INDUSTRY COUNCIL,2022-12-06,1000.00,1000.0,Maria Cantwell,2022,Year-End (July 1 - Dec 31),93358f66-5a5c-4cbd-af5a-6b5d4436d493,https://lda.gov/filings/public/contribution/93358f66-5a5c-4cbd-af5a-6b5d4436d493/print/
"Cantwell (Senate co-author of the discussion draft, not up for re-election, not retiring)",C000127,AMAZON.COM SERVICES LLC,2022-12-14,2500.00,2500.0,Senator Maria Cantwell,2022,Year-End (July 1 - Dec 31),218a8eaa-a8a5-4c68-bb1f-95d6f54be222,https://lda.gov/filings/public/contribution/218a8eaa-a8a5-4c68-bb1f-95d6f54be222/print/
"Cantwell (Senate co-author of the discussion draft, not up for re-election, not retiring)",C000127,INFORMATION TECHNOLOGY INDUSTRY COUNCIL,2023-01-30,1000.00,1000.0,Maria Cantwell,2023,Mid-Year (Jan 1 - Jun 30),e08e32eb-e6b0-4919-b231-ab4d1739fae8,https://lda.gov/filings/public/contribution/e08e32eb-e6b0-4919-b231-ab4d1739fae8/print/
"Cantwell (Senate co-author of the discussion draft, not up for re-election, not retiring)",C000127,NEWS CORPORATION,2023-03-05,250.00,250.0,Maria Cantwell,2023,Mid-Year (Jan 1 - Jun 30),aafe251c-5978-43bc-8f00-9cf69c21b405,https://lda.gov/filings/public/contribution/aafe251c-5978-43bc-8f00-9cf69c21b405/print/
"Cantwell (Senate co-author of the discussion draft, not up for re-election, not retiring)",C000127,COX ENTERPRISES INC.,2023-03-17,1000.00,1000.0,Sen. Maria Cantwell,2023,Mid-Year (Jan 1 - Jun 30),e2b7a776-a7fd-448c-8c8b-ca33da5cee60,https://lda.gov/filings/public/contribution/e2b7a776-a7fd-448c-8c8b-ca33da5cee60/print/
"Cantwell (Senate co-author of the discussion draft, not up for re-election, not retiring)",C000127,BYTEDANCE INC.,2023-03-28,500.00,500.0,Maria Cantwell,2023,Mid-Year (Jan 1 - Jun 30),3d4a56b8-457e-418f-b56b-4916d1938919,https://lda.gov/filings/public/contribution/3d4a56b8-457e-418f-b56b-4916d1938919/print/
"Cantwell (Senate co-author of the discussion draft, not up for re-election, not retiring)",C000127,BYTEDANCE INC.,2023-03-28,500.00,500.0,Maria Cantwell,2023,Mid-Year (Jan 1 - Jun 30),9193805a-18fc-432b-9237-e45beedcb309,https://lda.gov/filings/public/contribution/9193805a-18fc-432b-9237-e45beedcb309/print/
"Cantwell (Senate co-author of the discussion draft, not up for re-election, not retiring)",C000127,HONEYWELL INTERNATIONAL,2023-03-30,500.00,500.0,Maria Cantwell,2023,Mid-Year (Jan 1 - Jun 30),2d050dba-7338-445a-81db-45465ebe0851,https://lda.gov/filings/public/contribution/2d050dba-7338-445a-81db-45465ebe0851/print/
"Cantwell (Senate co-author of the discussion draft, not up for re-election, not retiring)",C000127,"SAP AMERICA, INC.",2023-03-31,1000.00,1000.0,Maria Cantwell,2023,Mid-Year (Jan 1 - Jun 30),03332dbd-1da6-4aad-9874-b27724c0a9a7,https://lda.gov/filings/public/contribution/03332dbd-1da6-4aad-9874-b27724c0a9a7/print/
"Cantwell (Senate co-author of the discussion draft, not up for re-election, not retiring)",C000127,AMAZON.COM SERVICES LLC,2023-03-31,700.00,700.0,SENATOR MARIA CANTWELL,2023,Mid-Year (Jan 1 - Jun 30),25aef028-dd62-4aca-a759-b89e2eb74c64,https://lda.gov/filings/public/contribution/25aef028-dd62-4aca-a759-b89e2eb74c64/print/
"Cantwell (Senate co-author of the discussion draft, not up for re-election, not retiring)",C000127,BYTEDANCE INC.,2023-07-13,1000.00,1000.0,Senator Maria Cantwell,2023,Year-End (July 1 - Dec 31),9a7d80d2-b465-4bc5-8f21-4b7677528b1b,https://lda.gov/filings/public/contribution/9a7d80d2-b465-4bc5-8f21-4b7677528b1b/print/
"Cantwell (Senate co-author of the discussion draft, not up for re-election, not retiring)",C000127,INFORMATION TECHNOLOGY INDUSTRY COUNCIL,2023-09-28,250.00,250.0,Senator Maria Cantwell,2023,Year-End (July 1 - Dec 31),9e55e4d2-c51e-4a82-b686-915f6e22dd53,https://lda.gov/filings/public/contribution/9e55e4d2-c51e-4a82-b686-915f6e22dd53/print/
"Cantwell (Senate co-author of the discussion draft, not up for re-election, not retiring)",C000127,"LUMEN TECHNOLOGIES, INC.",2023-10-30,1500.00,1500.0,Maria Cantwell,2023,Year-End (July 1 - Dec 31),fef7d7e6-ed23-4e6d-9894-e22f0ab719ea,https://lda.gov/filings/public/contribution/fef7d7e6-ed23-4e6d-9894-e22f0ab719ea/print/
"Cantwell (Senate co-author of the discussion draft, not up for re-election, not retiring)",C000127,PARAMOUNT SKYDANCE CORPORATION (FKA PARAMOUNT GLOBAL),2023-11-13,4000.00,4000.0,Maria Cantwell,2023,Year-End (July 1 - Dec 31),ed4d18df-c6e6-420b-ba9f-f3e46dcc25fc,https://lda.gov/filings/public/contribution/ed4d18df-c6e6-420b-ba9f-f3e46dcc25fc/print/
"Cantwell (Senate co-author of the discussion draft, not up for re-election, not retiring)",C000127,AMERICAN BANKERS ASSOCIATION,2023-11-16,5000.00,5000.0,Sen Maria Cantwell,2023,Year-End (July 1 - Dec 31),2871ee0d-e813-40b1-9569-19d6c8c26c55,https://lda.gov/filings/public/contribution/2871ee0d-e813-40b1-9569-19d6c8c26c55/print/
"Cantwell (Senate co-author of the discussion draft, not up for re-election, not retiring)",C000127,INFORMATION TECHNOLOGY INDUSTRY COUNCIL,2023-12-03,1000.00,1000.0,Senator Maria Cantwell,2023,Year-End (July 1 - Dec 31),9e55e4d2-c51e-4a82-b686-915f6e22dd53,https://lda.gov/filings/public/contribution/9e55e4d2-c51e-4a82-b686-915f6e22dd53/print/
"Cantwell (Senate co-author of the discussion draft, not up for re-election, not retiring)",C000127,INFORMATION TECHNOLOGY INDUSTRY COUNCIL,2024-02-08,500.00,500.0,Senator Maria Cantwell,2024,Mid-Year (Jan 1 - Jun 30),97684d7e-4f15-4b8f-8176-87d7347a9b22,https://lda.gov/filings/public/contribution/97684d7e-4f15-4b8f-8176-87d7347a9b22/print/
"Cantwell (Senate co-author of the discussion draft, not up for re-election, not retiring)",C000127,PORTLAND GENERAL ELECTRIC,2024-02-16,500.00,500.0,Senator Maria Cantwell,2024,Mid-Year (Jan 1 - Jun 30),1a203be8-e538-4b48-a882-23eb6d32088f,https://lda.gov/filings/public/contribution/1a203be8-e538-4b48-a882-23eb6d32088f/print/
"Cantwell (Senate co-author of the discussion draft, not up for re-election, not retiring)",C000127,"NETFLIX, INC.",2024-03-05,1000.00,1000.0,MARIA CANTWELL,2024,Mid-Year (Jan 1 - Jun 30),28bc4ea0-f9d1-4410-8a5c-95cbc8b2dd83,https://lda.gov/filings/public/contribution/28bc4ea0-f9d1-4410-8a5c-95cbc8b2dd83/print/
"Cantwell (Senate co-author of the discussion draft, not up for re-election, not retiring)",C000127,INFORMATION TECHNOLOGY INDUSTRY COUNCIL,2024-03-19,500.00,500.0,Senator Maria Cantwell,2024,Mid-Year (Jan 1 - Jun 30),97684d7e-4f15-4b8f-8176-87d7347a9b22,https://lda.gov/filings/public/contribution/97684d7e-4f15-4b8f-8176-87d7347a9b22/print/
"Cantwell (Senate co-author of the discussion draft, not up for re-election, not retiring)",C000127,AMAZON.COM SERVICES LLC,2024-03-31,500.00,500.0,Senator Maria Cantwell,2024,Mid-Year (Jan 1 - Jun 30),71dbec37-ef13-40d1-9015-424a5c6586a5,https://lda.gov/filings/public/contribution/71dbec37-ef13-40d1-9015-424a5c6586a5/print/
"Cantwell (Senate co-author of the discussion draft, not up for re-election, not retiring)",C000127,APPLE INC.,2024-06-18,500.00,500.0,Senator Maria Cantwell,2024,Mid-Year (Jan 1 - Jun 30),4a5ed3a0-8390-40f5-a40d-055281bdb273,https://lda.gov/filings/public/contribution/4a5ed3a0-8390-40f5-a40d-055281bdb273/print/
"Cantwell (Senate co-author of the discussion draft, not up for re-election, not retiring)",C000127,PARAMOUNT SKYDANCE CORPORATION (FKA PARAMOUNT GLOBAL),2024-09-09,2000.00,2000.0,Sen. Maria Cantwell,2024,Year-End (July 1 - Dec 31),990a9a3d-26e2-450d-8cfb-f110f6a927a9,https://lda.gov/filings/public/contribution/990a9a3d-26e2-450d-8cfb-f110f6a927a9/print/
"Cantwell (Senate co-author of the discussion draft, not up for re-election, not retiring)",C000127,MUTUAL OF OMAHA,2024-09-30,1500.00,1500.0,Sen Maria Cantwell,2024,Year-End (July 1 - Dec 31),8cd84164-766c-41d3-8ca9-dbb243d99bf2,https://lda.gov/filings/public/contribution/8cd84164-766c-41d3-8ca9-dbb243d99bf2/print/
"Cantwell (Senate co-author of the discussion draft, not up for re-election, not retiring)",C000127,APPLE INC.,2025-03-07,500.00,500.0,Senator Maria Cantwell,2025,Mid-Year (Jan 1 - Jun 30),b43bbaea-6002-4bba-9294-2e46aa95ef19,https://lda.gov/filings/public/contribution/b43bbaea-6002-4bba-9294-2e46aa95ef19/print/
"Cantwell (Senate co-author of the discussion draft, not up for re-election, not retiring)",C000127,"INTUIT, INC. AND AFFILIATES (FORMERLY INTUIT, INC.)",2025-09-04,1500.00,1500.0,Maria Cantwell,2025,Year-End (July 1 - Dec 31),3c1c3690-9762-4125-839f-4f895a2ccce7,https://lda.gov/filings/public/contribution/3c1c3690-9762-4125-839f-4f895a2ccce7/print/
"Johnson (Speaker, reportedly arranged the block)",J000299,"KOCH GOVERNMENT AFFAIRS, LLC",2022-02-14,1000.00,1000.0,Rep. Mike Johnson,2022,Mid-Year (Jan 1 - Jun 30),bf5ed86a-c833-4f27-964e-034f5e3525ac,https://lda.gov/filings/public/contribution/bf5ed86a-c833-4f27-964e-034f5e3525ac/print/
