client_name,filing_year,issue_code,description
ALABAMA FARMERS FEDERATION,2024,INS,"Opposed H.R. 8818, the American Privacy Rights Act"
AMERICAN ASSOCIATION FOR JUSTICE,2022,CSP,"Regulation of autonomous vehicles Support for the Forced Arbitration Injustice Repeal Act Support for ending forced arbitration in nursing homes Student athlete rights Revisions to the Medicare Secondary Payer Act Effects of bankruptcy law on mass tort lawsuits Ensuring a private right of action in H.R. 8152, the ""American Data Privacy and Protection Act"""
AMERICAN ASSOCIATION FOR JUSTICE,2022,CSP,"Regulation of autonomous vehicles Support for the Forced Arbitration Injustice Repeal Act Support for ending forced arbitration in nursing homes Student athlete rights Revisions to the Medicare Secondary Payer Act Effects of bankruptcy law on mass tort lawsuits Ensuring a private right of action in H.R. 8152, the ""American Data Privacy and Protection Act"""
AMERICAN ASSOCIATION FOR JUSTICE,2022,CSP,"Regulation of autonomous vehicles Support for the Forced Arbitration Injustice Repeal Act Support for ending forced arbitration in nursing homes Student athlete rights Revisions to the Medicare Secondary Payer Act Effects of bankruptcy law on mass tort lawsuits Ensuring a private right of action in H.R. 8152, the ""American Data Privacy and Protection Act"""
AMERICAN BEVERAGE LICENSEES,2022,CSP,"Issues relating to data privacy and security including proposed legislation affecting retail customer loyalty programs, preemption and national privacy laws; American Data Privacy and Protection Act (ADPPA) H.R. 8152"
ANTI-DEFAMATION LEAGUE,2022,SCI,"Support for legislation to address online hate, harassment, extremism, doxing, and swatting. Support for Protecting Americans from Dangerous Algorithms Act, H.R. 2154 / S. 3029 Support for FTC Whistleblower Act of 2021, H.R. 6093 Support for Digital Services Oversight and Safety Act, H.R. 6796 Support for Banning Surveillance Advertising Act of 2022, H.R. 6416 / S. 3520 Support for the American Data Privacy and Protection Act, H.R. 8152"
ANTI-DEFAMATION LEAGUE,2022,SCI,"Support for legislation to address online hate, harassment, extremism, doxing, and swatting. Support for Protecting Americans from Dangerous Algorithms Act, H.R. 2154 / S. 3029 Support for FTC Whistleblower Act of 2021, H.R. 6093 Support for Digital Services Oversight and Safety Act, H.R. 6796 Support for Banning Surveillance Advertising Act of 2022, H.R. 6416 / S. 3520 Support for the American Data Privacy and Protection Act, H.R. 8152"
ANTI-DEFAMATION LEAGUE,2022,SCI,"Support for legislation to address online hate, harassment, extremism, doxing, and swatting. Support for Protecting Americans from Dangerous Algorithms Act, H.R. 2154 / S. 3029 Support for FTC Whistleblower Act of 2021, H.R. 6093 Support for Digital Services Oversight and Safety Act, H.R. 6796 Support for Banning Surveillance Advertising Act of 2022, H.R. 6416 / S. 3520 Support for the American Data Privacy and Protection Act, H.R. 8152"
BOYS & GIRLS CLUBS OF AMERICA,2024,TEC,American Data Privacy and Protection Act (H.R.8152): In support of protecting operations and data systems of youth-serving nonprofits.
BOYS & GIRLS CLUBS OF AMERICA,2024,TEC,American Data Privacy and Protection Act (H.R.8152): In support of protecting operations and data systems of youth-serving nonprofits. American Privacy Rights Act: In support of protecting operations and data systems of youth-serving nonprofits.
BOYS & GIRLS CLUBS OF AMERICA,2024,TEC,American Data Privacy and Protection Act (H.R.8152): In support of protecting operations and data systems of youth-serving nonprofits. American Privacy Rights Act: In support of protecting operations and data systems of youth-serving nonprofits.
BOYS & GIRLS CLUBS OF AMERICA,2024,TEC,American Data Privacy and Protection Act (H.R.8152): In support of protecting operations and data systems of youth-serving nonprofits. American Privacy Rights Act: In support of protecting operations and data systems of youth-serving nonprofits.
BOYS & GIRLS CLUBS OF AMERICA,2025,TEC,American Data Privacy and Protection Act: In support of protecting operations and data systems of youth-serving nonprofits. American Privacy Rights Act: In support of protecting operations and data systems of youth-serving nonprofits.
BOYS & GIRLS CLUBS OF AMERICA,2025,TEC,American Data Privacy and Protection Act: In support of protecting operations and data systems of youth-serving nonprofits. American Privacy Rights Act: In support of protecting operations and data systems of youth-serving nonprofits.
BOYS & GIRLS CLUBS OF AMERICA,2025,TEC,American Data Privacy and Protection Act: In support of protecting operations and data systems of youth-serving nonprofits. American Privacy Rights Act: In support of protecting operations and data systems of youth-serving nonprofits.
BOYS & GIRLS CLUBS OF AMERICA,2025,TEC,American Data Privacy and Protection Act: In support of protecting operations and data systems of youth-serving nonprofits. American Privacy Rights Act: In support of protecting operations and data systems of youth-serving nonprofits.
BOYS & GIRLS CLUBS OF AMERICA,2026,TEC,American Data Privacy and Protection Act: In support of protecting operations and data systems of youth-serving nonprofits. American Privacy Rights Act: In support of protecting operations and data systems of youth-serving nonprofits.
CALIFORNIA STATE SENATE,2024,CSP,"Data privacy issues, including artificial intelligence. Advocated for elimination of preemption provisions from American Privacy Rights Act, HR 8818."
CALIFORNIA STATE SENATE,2024,CSP,"Data privacy issues, including artificial intelligence. Advocated for elimination of preemption provisions from American Privacy Rights Act, HR 8818."
CALIFORNIA STATE SENATE,2024,CSP,"Data privacy issues, including artificial intelligence. Advocated for elimination of preemption provisions from American Privacy Rights Act, HR 8818."
CHAMBER OF COMMERCE OF THE U.S.A.,2023,CSP,"Potential legislation similar to H.R. 8152, American Data Privacy and Protection Act Various issues on litigation related to data privacy and preemption of state data privacy legislation"
CHAMBER OF PROGRESS,2024,LAW,"Lobbying in support of H.R.7134, the Invest in Child Safety Act, and S.3689, the Invest in Child Safety Act of 2024, to pass laws that better protect children online; In support of H.R. 8818, American Privacy Rights Act of 2024 - a bill establishing national consumer data privacy standards; In support of H.R. 9551, NO FAKES Act of 2024 - a bill seeking to establish restrictions on the voice and visual likeness of all individuals from unauthorized computer-generated recreations from generative artificial intelligence (AI) and other technologies."
CHAMBER OF PROGRESS,2024,LAW,"Lobbying in support of H.R.7134, the Invest in Child Safety Act, and S.3689, the Invest in Child Safety Act of 2024, to pass laws that better protect children online; In support of H.R. 8818, American Privacy Rights Act of 2024 - a bill establishing national consumer data privacy standards; In support of H.R. 9551, NO FAKES Act of 2024 - a bill seeking to establish restrictions on the voice and visual likeness of all individuals from unauthorized computer-generated recreations from generative artificial intelligence (AI) and other technologies."
CONSUMER DATA INDUSTRY ASSOCIATION,2022,CSP,"General issues related to privacy, cybersecurity, data security, credit reporting, and background screening. Specific issues included: issues related to the credit reporting industry and possible amendments to the Fair Credit Reporting Act, including issues related to a common portal, disputes, scoring, and litigation; draft privacy, data security, cybersecurity, and breach notice proposals, including the American Data Privacy and Protection Act (H.R. 8152), issues related to preemption, penalties, and functional regulation, and issues impacting credit reporting quality."
CONSUMER DATA INDUSTRY ASSOCIATION,2023,CSP,"General issues related to privacy, cybersecurity, data security, credit reporting, and background screening. Specific issues included: issues related to the credit reporting industry and draft amendments to the Fair Credit Reporting Act, including issues related to a common portal, disputes, scoring, and litigation; and draft privacy, data security, cybersecurity, and breach notice proposals, including the American Data Privacy and Protection Act, and the Data Privacy Act (McHenry)(H.R. 1165), issues related to preemption, functional regulation, and data aggregators."
CREDIT KARMA AN INTUIT AFFILIATE,2022,FIN,Support FINTECH innovation and consumer protections Promote financial health and literacy for small businesses Issues related to data privacy HR:8152 American Data Privacy and Protection Act
ELECTRONIC FRONTIER FOUNDATION,2023,CIV,"unintroduced American Data Privacy and Protection Act, provisions relating to privacy, preemption, private right of action unintroduced draft DELETE Act, provisions relating to data brokers Kids Online Safety Act, consumer data privacy intermediary liability and consumer data privacy Federal drones regulation My Body My Data"
