roster_entity,raw_client_name,alias_coverage,n_press_mentions,n_distinct_members_mentioning,most_recent_mention_date
21ST CENTURY PRIVACY COALITION,21ST CENTURY PRIVACY COALITION,rejected_too_generic,0,0,
"23ANDME, INC.","23ANDME, INC.",not_reviewed,0,0,
"ACCENTURE, LLP","ACCENTURE, LLP",reviewed,6,6,2025-12-11
"ACT EDUCATION CORP. (FKA ACT, INC.)","ACT EDUCATION CORP. (FKA ACT, INC.)",not_reviewed,0,0,
ACXIOM LLC,ACXIOM LLC,reviewed,0,0,
ADVAMED:ADVANCED MEDICAL TECHNOLOGY ASSOCIATION,ADVAMED:ADVANCED MEDICAL TECHNOLOGY ASSOCIATION,not_reviewed,0,0,
ADVANCE PUBLICATIONS,ADVANCE PUBLICATIONS,not_reviewed,0,0,
AFLAC INCORPORATED,AFLAC INCORPORATED,reviewed,0,0,
AIRBNB,AIRBNB,not_reviewed,0,0,
AIRBNB,"AIRBNB, INC.",reviewed,13,9,2026-03-27
AKOYA LLC,AKOYA LLC,not_reviewed,0,0,
ALABAMA FARMERS FEDERATION,ALABAMA FARMERS FEDERATION,not_reviewed,0,0,
ALARM INDUSTRY COMMUNICATIONS COMMITTEE (FKA ALARM INDUSTRY TELECOMMUNICATIONS),ALARM INDUSTRY COMMUNICATIONS COMMITTEE (FKA ALARM INDUSTRY TELECOMMUNICATIONS),not_reviewed,0,0,
ALIBABA GROUP HOLDING LIMITED,ALIBABA GROUP HOLDING LIMITED,reviewed,15,12,2026-01-09
ALLIANCE FOR AUTOMOTIVE INNOVATION,ALLIANCE FOR AUTOMOTIVE INNOVATION,rejected_too_generic,0,0,
ALLSTATE INSURANCE COMPANY,ALLSTATE INSURANCE COMPANY,reviewed,7,5,2025-08-05
ALLY FINANCIAL INC.,ALLY FINANCIAL INC.,not_reviewed,0,0,
AMAZON.COM SERVICES,AMAZON.COM SERVICES LLC,reviewed,321,136,2026-03-31
AMAZON.COM SERVICES,"AMAZON.COM SERVICES, INC.",reviewed,0,0,
AMEREN SERVICES,AMEREN SERVICES,not_reviewed,0,0,
AMERICAN ASSOCIATION FOR JUSTICE,AMERICAN ASSOCIATION FOR JUSTICE,rejected_too_generic,0,0,
AMERICAN BANKERS ASSOCIATION,AMERICAN BANKERS ASSOCIATION,rejected_too_generic,0,0,
AMERICAN BAR ASSOCIATION,AMERICAN BAR ASSOCIATION,not_reviewed,0,0,
AMERICAN BEVERAGE LICENSEES,AMERICAN BEVERAGE LICENSEES,not_reviewed,0,0,
AMERICAN CLINICAL LABORATORY ASSOCIATION,AMERICAN CLINICAL LABORATORY ASSOCIATION,reviewed,8,7,2026-02-12
AMERICAN COUNCIL ON EDUCATION,AMERICAN COUNCIL ON EDUCATION,not_reviewed,0,0,
AMERICAN EXPRESS COMPANY,AMERICAN EXPRESS COMPANY,reviewed,37,21,2026-03-05
AMERICAN FAMILY MUTUAL INSURANCE COMPANY,AMERICAN FAMILY MUTUAL INSURANCE COMPANY,not_reviewed,0,0,
AMERICAN FAMILY MUTUAL INSURANCE COMPANY,"AMERICAN FAMILY MUTUAL INSURANCE COMPANY, S.I.",not_reviewed,0,0,
AMERICAN HEART ASSOCIATION,AMERICAN HEART ASSOCIATION,reviewed,151,80,2026-03-23
AMERICAN HONDA MOTOR,AMERICAN HONDA MOTOR CO INC (FORMERLY HONDA NORTH AMERICA),reviewed,3,3,2025-02-25
AMERICAN HONDA MOTOR,"AMERICAN HONDA MOTOR CO., INC.",not_reviewed,0,0,
AMERICAN HOTEL & LODGING ASSOCIATION,AMERICAN HOTEL & LODGING ASSOCIATION,reviewed,30,21,2026-03-27
"AMERICAN INTERNATIONAL GROUP, INC.","AMERICAN INTERNATIONAL GROUP, INC.",reviewed,105,52,2026-03-24
AMERICAN LAND TITLE ASSOCIATION,AMERICAN LAND TITLE ASSOCIATION,reviewed,80,37,2026-03-25
AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION,AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION,reviewed,48,31,2026-02-11
AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION,AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION FKA PROPERTY CASUALTY INSURERS,reviewed,0,0,
AMERICAN PUBLIC EDUCATION INC.,AMERICAN PUBLIC EDUCATION INC.,not_reviewed,0,0,
AMERICAN PUBLIC POWER ASSOCIATION,AMERICAN PUBLIC POWER ASSOCIATION,reviewed,35,27,2026-02-20
AMERICAN SOCIETY OF HUMAN GENETICS,AMERICAN SOCIETY OF HUMAN GENETICS,not_reviewed,0,0,
AMERICAN TRANSACTION PROCESSORS COALITION,AMERICAN TRANSACTION PROCESSORS COALITION,reviewed,0,0,
AMERICANS FOR FINANCIAL REFORM,AMERICANS FOR FINANCIAL REFORM,not_reviewed,0,0,
"AMERIPRISE FINANCIAL, INC.","AMERIPRISE FINANCIAL, INC.",not_reviewed,0,0,
ANCESTRY,ANCESTRY,not_reviewed,0,0,
ANTI-DEFAMATION LEAGUE,ANTI-DEFAMATION LEAGUE,not_reviewed,0,0,
APPLE,APPLE INC,not_reviewed,0,0,
APPLE,APPLE INC.,not_reviewed,0,0,
ASSOCIATION FOR COMPETITIVE TECHNOLOGY,ASSOCIATION FOR COMPETITIVE TECHNOLOGY,not_reviewed,0,0,
ASSOCIATION OF AMERICAN UNIVERSITIES,ASSOCIATION OF AMERICAN UNIVERSITIES,not_reviewed,0,0,
"ASSOCIATION OF NATIONAL ADVERTISERS, INC.","ASSOCIATION OF NATIONAL ADVERTISERS, INC.",not_reviewed,0,0,
ASSOCIATION OF STATE CRIMINAL INVESTIGATIVE AGENCIES,ASSOCIATION OF STATE CRIMINAL INVESTIGATIVE AGENCIES,not_reviewed,0,0,
AT&T SERVICES,AT&T SERVICES INC,not_reviewed,0,0,
AT&T SERVICES,AT&T SERVICES INC.,not_reviewed,0,0,
AT&T SERVICES,"AT&T SERVICES, INC.",not_reviewed,0,0,
ATLAS CROSSING LLC ON BEHALF OF NATIONAL ASSOCIATION OF CONVENIENCE STORES,ATLAS CROSSING LLC ON BEHALF OF NATIONAL ASSOCIATION OF CONVENIENCE STORES,not_reviewed,0,0,
ATLASSIAN,ATLASSIAN,not_reviewed,0,0,
"AURA SUB, LLC","AURA SUB, LLC",not_reviewed,0,0,
AUTODESK INC,AUTODESK INC,not_reviewed,0,0,
AVENTIV TECHNOLOGIES LLC AND VARIOUS SUBSIDIARIES,AVENTIV TECHNOLOGIES LLC AND VARIOUS SUBSIDIARIES,reviewed,1,1,2024-07-23
"AWESOME, INC.","AWESOME, INC.",not_reviewed,0,0,
AZOA SERVICES CORP(ALLIANZ OF AMERICA) AND AFFILIATES,AZOA SERVICES CORP(ALLIANZ OF AMERICA) AND AFFILIATES,not_reviewed,0,0,
BANK OF AMERICA CORPORATION,BANK OF AMERICA CORPORATION,reviewed,46,24,2025-06-11
"BATH & BODY WORKS, INC.","BATH & BODY WORKS, INC.",reviewed,1,1,2026-02-17
BIOTECHNOLOGY INNOVATION ORGANIZATION,BIOTECHNOLOGY INNOVATION ORGANIZATION,not_reviewed,0,0,
BLOCK,BLOCK INC.,not_reviewed,0,0,
BLOCK,"BLOCK, INC.",not_reviewed,0,0,
"BLOCKCHAINS, INC.","BLOCKCHAINS, INC.",not_reviewed,0,0,
BOEING EMPLOYEES' CREDIT UNION,BOEING EMPLOYEES' CREDIT UNION,not_reviewed,0,0,
BOOKING HOLDINGS INC.,BOOKING HOLDINGS INC.,not_reviewed,0,0,
BOYS & GIRLS CLUBS OF AMERICA,BOYS & GIRLS CLUBS OF AMERICA,not_reviewed,0,0,
BRENNAN CENTER FOR JUSTICE AT NEW YORK UNIVERSITY SCHOOL OF LAW,BRENNAN CENTER FOR JUSTICE AT NEW YORK UNIVERSITY SCHOOL OF LAW,not_reviewed,0,0,
BSA / SOFTWARE ALLIANCE,"BSA, THE SOFTWARE ALLIANCE",not_reviewed,0,0,
BUSINESS ROUNDTABLE,BUSINESS ROUNDTABLE,rejected_too_generic,0,0,
BUSINESS ROUNDTABLE,BUSINESS ROUNDTABLE INC,not_reviewed,0,0,
