roster_entity,alias_coverage,n_press_mentions,n_distinct_members_mentioning,most_recent_mention_date
VISA,reviewed,1149,291,2026-03-31
TIKTOK INC.,reviewed,544,201,2026-03-31
AMAZON.COM SERVICES,reviewed,321,136,2026-03-31
INTEL CORPORATION,reviewed,263,96,2026-03-18
MICROSOFT CORPORATION,reviewed,195,108,2026-03-28
GENERAL MOTORS COMPANY,reviewed,160,63,2026-02-18
AMERICAN HEART ASSOCIATION,reviewed,151,80,2026-03-23
BYTEDANCE INC.,reviewed,150,90,2026-03-17
VERIZON COMMUNICATIONS,reviewed,113,47,2026-03-24
"AMERICAN INTERNATIONAL GROUP, INC.",reviewed,105,52,2026-03-24
NATIONAL RETAIL FEDERATION,reviewed,105,47,2026-03-05
"T-MOBILE USA, INC.",reviewed,82,29,2026-03-03
AMERICAN LAND TITLE ASSOCIATION,reviewed,80,37,2026-03-25
CTIA - THE WIRELESS ASSOCIATION,reviewed,80,24,2025-11-21
PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA (PHRMA),reviewed,61,17,2026-02-15
WELLS FARGO & COMPANY,reviewed,60,25,2025-12-11
UNITED STATES TELECOM ASSOCIATION,reviewed,55,34,2026-01-09
"NETFLIX, INC.",reviewed,50,28,2026-03-23
NCTA - THE INTERNET & TELEVISION ASSOCIATION,reviewed,49,17,2025-12-02
AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION,reviewed,48,31,2026-02-11
BANK OF AMERICA CORPORATION,reviewed,46,24,2025-06-11
PACIFIC GAS AND ELECTRIC COMPANY,reviewed,46,10,2026-03-24
CAPITAL ONE FINANCIAL CORPORATION,reviewed,45,22,2026-03-25
FEDEX CORPORATION,reviewed,45,26,2026-03-19
"CITIGROUP WASHINGTON, INC.",reviewed,42,27,2026-03-13
"KOCH GOVERNMENT AFFAIRS, LLC",reviewed,41,29,2026-03-27
COMCAST CORPORATION,reviewed,39,23,2026-02-02
NEC CORPORATION OF AMERICA,reviewed,39,28,2026-02-24
AMERICAN EXPRESS COMPANY,reviewed,37,21,2026-03-05
SAP AMERICA,reviewed,36,26,2026-02-10
AMERICAN PUBLIC POWER ASSOCIATION,reviewed,35,27,2026-02-20
NATIONAL CABLE AND TELECOMMUNICATIONS ASSOCIATION,reviewed,34,17,2025-12-02
MCDONALD'S CORPORATION,reviewed,33,24,2026-03-31
