entity,n_activities,n_filings,n_client_ids,first_year,last_year,n_years_span,raw_names_merged
DIRECTV,52,47,5,2022,2026,5,"DIRECTV, LLC; DIRECTV"
INTUIT,44,18,7,2022,2022,1,"INTUIT, INC. AND AFFILIATES (FORMERLY INTUIT, INC.); INTUIT, INC. AND AFFILIATES; INTUIT, INC. AND AFFILIATES (F.K.A. INTUIT, INC.)"
YAHOO,42,30,2,2022,2025,4,"YAHOO INC, AND VAR. SUBS/AFFILIATES (FKA COLLEGE PARENT, L.P. DBA ""YAHOO""); YAHOO INC. AND VAR. SUBS/AFFILIATES"
COMCAST CORPORATION,29,28,7,2022,2024,3,COMCAST CORPORATION
CONSUMER TECHNOLOGY ASSOCIATION,29,24,3,2022,2024,3,CONSUMER TECHNOLOGY ASSOCIATION
"DISCOVERY COMMUNICATIONS, LLC",27,9,1,2022,2024,3,"DISCOVERY COMMUNICATIONS, LLC"
AMERICAN HONDA MOTOR,25,23,3,2022,2026,5,"AMERICAN HONDA MOTOR CO., INC.; AMERICAN HONDA MOTOR CO INC (FORMERLY HONDA NORTH AMERICA)"
BUSINESS ROUNDTABLE,25,22,5,2022,2024,3,THE BUSINESS ROUNDTABLE; BUSINESS ROUNDTABLE INC; BUSINESS ROUNDTABLE
COMPUTER & COMMUNICATIONS INDUSTRY ASSOCIATION,24,24,3,2022,2026,5,COMPUTER & COMMUNICATIONS INDUSTRY ASSOCIATION
INTERPUBLIC GROUP,24,12,1,2022,2024,3,INTERPUBLIC GROUP
UNITED SERVICES AUTOMOBILE ASSOCIATION,24,11,2,2022,2024,3,UNITED SERVICES AUTOMOBILE ASSOCIATION
RELX,24,23,4,2022,2024,3,RELX INC; RELX INC.
SAP AMERICA,22,20,4,2022,2024,3,"SAP AMERICA INC.; SAP AMERICA, INC."
"WORKDAY, INC.",21,19,3,2022,2025,4,"WORKDAY, INC."
"SALESFORCE, INC.",20,20,2,2022,2025,4,"SALESFORCE, INC."
TNC (US) HOLDINGS (FKA NIELSEN),19,19,2,2022,2025,4,"TNC (US) HOLDINGS INC; TNC (US) HOLDINGS, INC. (FORMERLY NIELSEN)"
AMAZON.COM SERVICES,19,19,5,2022,2024,3,"AMAZON.COM SERVICES LLC; AMAZON.COM SERVICES, INC."
REINSURANCE ASSOCIATION OF AMERICA,18,18,2,2022,2024,3,REINSURANCE ASSOCIATION OF AMERICA; REINSURANCE ASSN OF AMERICA
NATIONAL RESTAURANT ASSOCIATION,17,17,3,2022,2025,4,NATIONAL RESTAURANT ASSOCIATION
"EVENTBRITE, INC.",16,16,2,2022,2024,3,"EVENTBRITE, INC."
"QVC GROUP, INC.",16,16,1,2022,2026,5,"QVC GROUP, INC."
"TWITTER, INC.",16,4,1,2022,2022,1,"TWITTER, INC."
VERIZON COMMUNICATIONS,16,16,5,2022,2024,3,"VERIZON COMMUNICATIONS, INC.; VERIZON COMMUNICATIONS INC AND ITS SUBSIDIARIES; VERIZON COMMUNICATIONS INC AND VARIOUS SUBSIDIARIES; VERIZON COMMUNICATIONS"
ALARM INDUSTRY COMMUNICATIONS COMMITTEE (FKA ALARM INDUSTRY TELECOMMUNICATIONS),15,15,1,2022,2025,4,ALARM INDUSTRY COMMUNICATIONS COMMITTEE (FKA ALARM INDUSTRY TELECOMMUNICATIONS)
THRIVENT FINANCIAL FOR LUTHERANS,15,10,2,2023,2024,2,THRIVENT FINANCIAL FOR LUTHERANS
AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION,15,15,5,2022,2024,3,AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION; AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION FKA PROPERTY CASUALTY INSURERS
RETAIL INDUSTRY LEADERS ASSOCIATION,15,15,2,2022,2024,3,RETAIL INDUSTRY LEADERS ASSOCIATION; RETAIL INDUSTRY LEADERS ASSOCIATION (RILA)
AMERICAN BANKERS ASSOCIATION,14,14,2,2022,2024,3,AMERICAN BANKERS ASSOCIATION
DOMINO'S NATIONAL ADVERTISING FUND INC,14,7,1,2022,2024,3,DOMINO'S NATIONAL ADVERTISING FUND INC
"DROPBOX, INC.",14,14,2,2022,2024,3,"DROPBOX, INC."
"GARMIN INTERNATIONAL, INC.",14,14,3,2022,2024,3,"GARMIN INTERNATIONAL, INC."
"MERCARI, INC.",14,14,2,2022,2025,4,"MERCARI, INC."
TWILIO,14,5,2,2022,2022,1,"TWILIO, INC.; TWILIO INC."
APPLE,14,14,2,2022,2024,3,APPLE INC.; APPLE INC
"CONTINENTAL AUTOMOTIVE SYSTEMS, INC.",13,7,1,2022,2024,3,"CONTINENTAL AUTOMOTIVE SYSTEMS, INC."
NATIONAL FUSION CENTER ASSOCIATION,13,10,1,2022,2024,3,NATIONAL FUSION CENTER ASSOCIATION
NATIONAL RETAIL FEDERATION,13,13,2,2022,2024,3,NATIONAL RETAIL FEDERATION
"KOCH GOVERNMENT AFFAIRS, LLC",12,12,2,2022,2024,3,"KOCH GOVERNMENT AFFAIRS, LLC"
KROGER CO,12,12,1,2022,2026,5,KROGER CO
META PLATFORMS,12,12,3,2022,2024,3,"META PLATFORMS, INC."
"ROKU, INC.",12,2,1,2022,2022,1,"ROKU, INC."
INFORMATION TECHNOLOGY INDUSTRY COUNCIL,12,12,3,2022,2024,3,INFORMATION TECHNOLOGY INDUSTRY COUNCIL; INFORMATION TECHNOLOGY INDUSTRY COUNCIL (ITI)
TARGET CORPORATION,12,12,3,2022,2023,2,TARGET CORPORATION; CORNERSTONE GOVERNMENT AFFAIRS OBO TARGET CORPORATION
AMERICAN HEART ASSOCIATION,11,11,1,2023,2024,2,AMERICAN HEART ASSOCIATION
BOYS & GIRLS CLUBS OF AMERICA,11,11,1,2022,2026,5,BOYS & GIRLS CLUBS OF AMERICA
BSA / SOFTWARE ALLIANCE,11,11,1,2022,2024,3,"BSA, THE SOFTWARE ALLIANCE"
IRON MOUNTAIN,11,11,1,2022,2024,3,IRON MOUNTAIN
NATIONAL BUSINESS COALITION ON E-COMMERCE AND PRIVACY,11,11,1,2022,2024,3,NATIONAL BUSINESS COALITION ON E-COMMERCE AND PRIVACY
NETWORK ADVERTISING INITIATIVE,11,8,1,2022,2024,3,NETWORK ADVERTISING INITIATIVE
SHOPIFY INC.,11,11,1,2022,2025,4,SHOPIFY INC.
CTIA - THE WIRELESS ASSOCIATION,11,11,3,2022,2024,3,CTIA - THE WIRELESS ASSOCIATION; CTIA-THE WIRELESS ASSOCIATION
AT&T SERVICES,11,11,4,2022,2024,3,"AT&T SERVICES, INC.; AT&T SERVICES INC; AT&T SERVICES INC."
ENTERPRISE CLOUD COALITION,10,5,1,2022,2024,3,ENTERPRISE CLOUD COALITION
ENTERTAINMENT SOFTWARE ASSOCIATION,10,10,2,2023,2024,2,ENTERTAINMENT SOFTWARE ASSOCIATION
HONEYWELL INTERNATIONAL,10,10,1,2022,2024,3,HONEYWELL INTERNATIONAL
NATIONAL ASSOCIATION OF MUTUAL INSURANCE COMPANIES,10,10,3,2022,2024,3,NATIONAL ASSOCIATION OF MUTUAL INSURANCE COMPANIES
NEWS CORPORATION,10,8,1,2023,2024,2,NEWS CORPORATION
"RAPID7, INC.",10,5,1,2022,2022,1,"RAPID7, INC."
ROCK CENTRAL,10,7,2,2022,2024,3,ROCK CENTRAL
TECHNET,10,10,3,2022,2024,3,TECHNOLOGY NETWORK AKA TECHNET; TECHNET
