entity,n_activities,n_filings,n_client_ids,first_year,last_year,n_years_span,raw_names_merged
INTUIT,25,25,6,2022,2023,2,"INTUIT, INC. AND AFFILIATES (FORMERLY INTUIT, INC.); INTUIT, INC. AND AFFILIATES"
BSA / SOFTWARE ALLIANCE,23,23,3,2022,2024,3,"BSA, THE SOFTWARE ALLIANCE; BUSINESS SOFTWARE ALLIANCE; BSA THE SOFTWARE ALLIANCE (FORMERLY BSA BUSINESS SOFTWARE ALLIANCE INC)"
LIVERAMP,19,19,2,2022,2026,5,"LIVERAMP, INC.; LIVERAMP HOLDINGS INC."
RELX,18,18,2,2022,2024,3,RELX INC.; RELX INC
MICROSOFT CORPORATION,17,17,2,2022,2026,5,MICROSOFT CORPORATION
META PLATFORMS,17,17,5,2022,2024,3,"META PLATFORMS, INC.; META PLATFORMS, INC. AND VARIOUS SUBSIDIARIES"
YAHOO,16,16,2,2023,2025,3,"YAHOO INC, AND VAR. SUBS/AFFILIATES (FKA COLLEGE PARENT, L.P. DBA ""YAHOO""); YAHOO INC. AND VAR. SUBS/AFFILIATES"
"WORKDAY, INC.",15,15,3,2022,2024,3,"WORKDAY, INC."
"SAP AMERICA, INC.",14,14,3,2022,2024,3,"SAP AMERICA, INC."
"SALESFORCE, INC.",14,14,1,2022,2024,3,"SALESFORCE, INC."
"DROPBOX, INC.",14,14,2,2022,2024,3,"DROPBOX, INC."
COMPUTER & COMMUNICATIONS INDUSTRY ASSOCIATION,14,14,2,2022,2024,3,COMPUTER & COMMUNICATIONS INDUSTRY ASSOCIATION
TECHNET,14,14,2,2022,2024,3,TECHNET; TECHNOLOGY NETWORK AKA TECHNET
CLOUDFACTORS LLC,12,12,1,2023,2026,4,CLOUDFACTORS LLC
IBM,12,12,2,2022,2024,3,INTERNATIONAL BUSINESS MACHINES CORPORATION (IBM); IBM
AMERICAN ADVERTISING FEDERATION,11,11,1,2022,2024,3,AMERICAN ADVERTISING FEDERATION
HONEYWELL INTERNATIONAL,10,10,1,2022,2024,3,HONEYWELL INTERNATIONAL
ENTERTAINMENT SOFTWARE ASSOCIATION,10,10,2,2023,2024,2,ENTERTAINMENT SOFTWARE ASSOCIATION
AFLAC INCORPORATED,10,10,1,2022,2024,3,AFLAC INCORPORATED
PLAID INC.,9,9,1,2023,2024,2,PLAID INC.
MOTION PICTURE ASSOCIATION INC,9,9,1,2022,2024,3,MOTION PICTURE ASSOCIATION INC
MAPLEBEAR INC. D/B/A INSTACART,9,9,2,2022,2025,4,MAPLEBEAR INC. D/B/A INSTACART
ZURICH AMERICAN INSURANCE COMPANY,8,8,1,2023,2024,2,ZURICH AMERICAN INSURANCE COMPANY
"THE AARON'S COMPANY, INC.",8,8,1,2023,2024,2,"THE AARON'S COMPANY, INC."
SWISS REINSURANCE COMPANY LTD,8,8,1,2023,2024,2,SWISS REINSURANCE COMPANY LTD
CTIA - THE WIRELESS ASSOCIATION,8,8,1,2023,2024,2,CTIA - THE WIRELESS ASSOCIATION
"AMERICAN INTERNATIONAL GROUP, INC.",8,8,1,2023,2024,2,"AMERICAN INTERNATIONAL GROUP, INC."
"AMAZON.COM SERVICES, INC.",8,8,1,2023,2024,2,"AMAZON.COM SERVICES, INC."
NETWORK ADVERTISING INITIATIVE,7,7,1,2022,2024,3,NETWORK ADVERTISING INITIATIVE
SIIA,7,7,2,2023,2024,2,SOFTWARE & INFORMATION INDUSTRY ASSOCIATION; SOFTWARE & INFORMATION INDUSTRY ASSOCIATION (SIIA)
PREMISE,6,6,1,2022,2023,2,PREMISE
DIGITAL ANALYTICS FREEDOM ALLIANCE,6,6,1,2022,2024,3,DIGITAL ANALYTICS FREEDOM ALLIANCE
DAPPER LABS INC.,6,6,1,2022,2023,2,DAPPER LABS INC.
CONSUMER TECHNOLOGY ASSOCIATION,6,6,1,2023,2024,2,CONSUMER TECHNOLOGY ASSOCIATION
BLOCK,6,6,2,2024,2024,1,"BLOCK, INC.; BLOCK INC."
"RAPID7, INC.",5,5,1,2022,2022,1,"RAPID7, INC."
NEW YORK LIFE INSURANCE COMPANY,5,5,1,2023,2024,2,NEW YORK LIFE INSURANCE COMPANY
IVANTI,5,5,1,2022,2024,3,IVANTI
ENTERPRISE CLOUD COALITION,5,5,1,2022,2024,3,ENTERPRISE CLOUD COALITION
COX ENTERPRISES INC.,5,5,1,2022,2024,3,COX ENTERPRISES INC.
"TWITTER, INC.",4,4,1,2022,2022,1,"TWITTER, INC."
"ASSOCIATION OF NATIONAL ADVERTISERS, INC.",4,4,1,2022,2022,1,"ASSOCIATION OF NATIONAL ADVERTISERS, INC."
ADVAMED:ADVANCED MEDICAL TECHNOLOGY ASSOCIATION,4,4,1,2022,2022,1,ADVAMED:ADVANCED MEDICAL TECHNOLOGY ASSOCIATION
MATCH GROUP,4,4,3,2024,2024,1,"MATCH GROUP; MATCH GROUP, LLC; MATCH GROUP, INC."
"TWILIO, INC.",3,3,1,2022,2022,1,"TWILIO, INC."
TIKTOK INC.,3,3,1,2022,2022,1,TIKTOK INC.
S&P GLOBAL MOBILITY (FORMERLY KNOWN AS IHS MARKIT D/B/A R.L. POLK & CO.),3,3,1,2024,2024,1,S&P GLOBAL MOBILITY (FORMERLY KNOWN AS IHS MARKIT D/B/A R.L. POLK & CO.)
"NIANTIC, INC.",3,3,1,2022,2022,1,"NIANTIC, INC."
NATIONAL RESTAURANT ASSOCIATION,3,3,1,2024,2024,1,NATIONAL RESTAURANT ASSOCIATION
LINKEDIN CORPORATION,3,3,1,2022,2022,1,LINKEDIN CORPORATION
FEDEX CORPORATION,3,3,1,2022,2022,1,FEDEX CORPORATION
EBAY INC.,3,3,1,2025,2026,2,EBAY INC.
DELL INC.,3,3,1,2022,2022,1,DELL INC.
DEFI EDUCATION FUND,3,3,2,2024,2024,1,DEFI EDUCATION FUND
CLOUDFLARE,3,3,1,2022,2022,1,CLOUDFLARE
"CHUBB INA HOLDINGS, INC.",3,3,1,2024,2024,1,"CHUBB INA HOLDINGS, INC."
AUTODESK INC,3,3,1,2022,2022,1,AUTODESK INC
ACXIOM LLC,3,3,1,2022,2022,1,ACXIOM LLC
RIIID LABS INC.,2,2,1,2022,2022,1,RIIID LABS INC.
"PALO ALTO NETWORKS, INC.",2,2,1,2024,2024,1,"PALO ALTO NETWORKS, INC."
ONFIDO INC.,2,2,1,2022,2022,1,ONFIDO INC.
"NOVA LABS, INC.",2,2,1,2024,2024,1,"NOVA LABS, INC."
"NOTARIZE, INC. DBA PROOF.COM",2,2,1,2024,2024,1,"NOTARIZE, INC. DBA PROOF.COM"
HP INC,2,2,1,2022,2022,1,HP INC
DAVID'S LEGACY FOUNDATION,2,2,1,2024,2024,1,DAVID'S LEGACY FOUNDATION
BUSINESS ROUNDTABLE,2,2,1,2022,2022,1,BUSINESS ROUNDTABLE
BLOCKCHAIN ASSOCIATION,2,2,1,2024,2024,1,BLOCKCHAIN ASSOCIATION
THE HOME DEPOT,1,1,1,2023,2023,1,THE HOME DEPOT
"OKTA, INC.",1,1,1,2022,2022,1,"OKTA, INC."
BOOKING HOLDINGS INC.,1,1,1,2024,2024,1,BOOKING HOLDINGS INC.
APPLE INC.,1,1,1,2022,2022,1,APPLE INC.
