member,bioguide,in_house_registrant_client,contribution_date,amount,amount_num,honoree_name_as_filed,filing_year,filing_period,filing_uuid,lda_url
DelBene,D000617,GOOGLE CLIENT SERVICES LLC,2022-01-21,1000.00,1000.0,Rep. Suzan DelBene,2022,Mid-Year (Jan 1 - Jun 30),8d35acd4-9c6c-4953-8b62-578bc818ef29,https://lda.gov/filings/public/contribution/8d35acd4-9c6c-4953-8b62-578bc818ef29/print/
DelBene,D000617,THE HOME DEPOT,2022-01-30,2500.00,2500.0,Rep. Suzan Kay DelBene,2022,Mid-Year (Jan 1 - Jun 30),3ff151a7-03ed-4835-a8cc-350a09faf1e2,https://lda.gov/filings/public/contribution/3ff151a7-03ed-4835-a8cc-350a09faf1e2/print/
DelBene,D000617,TARGET CORPORATION,2022-02-15,1000.00,1000.0,Suzan DelBene,2022,Mid-Year (Jan 1 - Jun 30),4b9eda30-b8f3-4b2a-ab92-60b2162d2b3b,https://lda.gov/filings/public/contribution/4b9eda30-b8f3-4b2a-ab92-60b2162d2b3b/print/
DelBene,D000617,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,2022-02-16,2500.00,2500.0,Rep. Suzan Kay DelBene,2022,Mid-Year (Jan 1 - Jun 30),211452b8-c319-482d-9569-232d891d2d50,https://lda.gov/filings/public/contribution/211452b8-c319-482d-9569-232d891d2d50/print/
DelBene,D000617,MORTGAGE BANKERS ASSOCIATION,2022-02-17,5000.00,5000.0,Rep Suzan DelBene,2022,Mid-Year (Jan 1 - Jun 30),cc34b7ed-742e-4d14-9de5-13bc9b9d9095,https://lda.gov/filings/public/contribution/cc34b7ed-742e-4d14-9de5-13bc9b9d9095/print/
DelBene,D000617,HONEYWELL INTERNATIONAL,2022-02-17,5000.00,5000.0,Suzan DelBene,2022,Mid-Year (Jan 1 - Jun 30),b9efee68-f64f-48b7-87bc-ea591b214306,https://lda.gov/filings/public/contribution/b9efee68-f64f-48b7-87bc-ea591b214306/print/
DelBene,D000617,CONSUMER TECHNOLOGY ASSOCIATION,2022-03-10,5000.00,5000.0,Rep. Suzan DelBene,2022,Mid-Year (Jan 1 - Jun 30),3881a8de-ea66-4509-9cdd-fd0e0e806233,https://lda.gov/filings/public/contribution/3881a8de-ea66-4509-9cdd-fd0e0e806233/print/
DelBene,D000617,THE NONPROFIT ALLIANCE,2022-03-18,500.00,500.0,Rep. Suzan DelBene,2022,Mid-Year (Jan 1 - Jun 30),bfb56d43-4501-4a2e-a983-f0162fa34ca6,https://lda.gov/filings/public/contribution/bfb56d43-4501-4a2e-a983-f0162fa34ca6/print/
DelBene,D000617,"MEDTRONIC, INC.",2022-03-22,3500.00,3500.0,Suzan DelBene,2022,Mid-Year (Jan 1 - Jun 30),32c36378-eac4-4c40-ac6f-da8646815cb6,https://lda.gov/filings/public/contribution/32c36378-eac4-4c40-ac6f-da8646815cb6/print/
DelBene,D000617,"MEDTRONIC, INC.",2022-03-22,5000.00,5000.0,Suzan DelBene,2022,Mid-Year (Jan 1 - Jun 30),32c36378-eac4-4c40-ac6f-da8646815cb6,https://lda.gov/filings/public/contribution/32c36378-eac4-4c40-ac6f-da8646815cb6/print/
DelBene,D000617,ROCK CENTRAL,2022-03-24,1500.00,1500.0,Suzan DelBene,2022,Mid-Year (Jan 1 - Jun 30),06b342f6-2277-4b4a-aa45-79704891a4ec,https://lda.gov/filings/public/contribution/06b342f6-2277-4b4a-aa45-79704891a4ec/print/
DelBene,D000617,ROCK CENTRAL,2022-03-24,1000.00,1000.0,Suzan DelBene,2022,Mid-Year (Jan 1 - Jun 30),06b342f6-2277-4b4a-aa45-79704891a4ec,https://lda.gov/filings/public/contribution/06b342f6-2277-4b4a-aa45-79704891a4ec/print/
DelBene,D000617,ROCK CENTRAL,2022-03-24,1000.00,1000.0,Suzan DelBene,2022,Mid-Year (Jan 1 - Jun 30),06b342f6-2277-4b4a-aa45-79704891a4ec,https://lda.gov/filings/public/contribution/06b342f6-2277-4b4a-aa45-79704891a4ec/print/
DelBene,D000617,LOWE'S COMPANIES INC.,2022-03-25,2000.00,2000.0,Rep. Suzan Kay DelBene,2022,Mid-Year (Jan 1 - Jun 30),f7b9e4ac-3107-43dd-8ca4-61d5d5fc6ae9,https://lda.gov/filings/public/contribution/f7b9e4ac-3107-43dd-8ca4-61d5d5fc6ae9/print/
DelBene,D000617,THE PROCTER AND GAMBLE COMPANY,2022-03-28,2500.00,2500.0,Rep. Suzan Kay DelBene,2022,Mid-Year (Jan 1 - Jun 30),18abba24-a36d-481d-b2a1-54a2009e4a13,https://lda.gov/filings/public/contribution/18abba24-a36d-481d-b2a1-54a2009e4a13/print/
