member,bioguide,registrant,relationship,roster_clients_represented,n_contribution_items,total_amount,first_date,last_date
DelBene,D000617,TIBER CREEK GROUP,third_party_firm,AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION; FINSECA; INFORMATION TECHNOLOGY INDUSTRY COUNCIL; SAP AMERICA INC.; THE NORTHWESTERN MUTUAL LIFE INSURANCE COMPANY; UNITED SERVICES AUTOMOBILE ASSOCIATION,7,86600.0,2023-02-23,2025-12-31
DelBene,D000617,HONEYWELL INTERNATIONAL,in_house,HONEYWELL INTERNATIONAL,19,41500.0,2022-02-17,2025-12-23
DelBene,D000617,"MEDTRONIC, INC.",in_house,MEDTRONIC INC,9,40000.0,2022-03-22,2025-03-25
DelBene,D000617,"K&L GATES, LLP",third_party_firm,BOEING EMPLOYEES' CREDIT UNION,28,34000.0,2022-02-04,2024-09-30
DelBene,D000617,AMAZON.COM SERVICES LLC,in_house,AMAZON.COM SERVICES LLC,9,33800.0,2022-06-24,2025-04-22
DelBene,D000617,MORTGAGE BANKERS ASSOCIATION,in_house,MORTGAGE BANKERS ASSOCIATION,10,33500.0,2022-02-17,2025-12-11
DelBene,D000617,AFLAC INCORPORATED,in_house,AFLAC INCORPORATED,15,30500.0,2022-10-24,2025-11-20
DelBene,D000617,FINSECA,in_house,FINSECA,13,30000.0,2022-07-29,2025-09-26
DelBene,D000617,GOOGLE CLIENT SERVICES LLC,in_house,GOOGLE CLIENT SERVICES LLC,12,28000.0,2022-01-21,2025-12-12
DelBene,D000617,CONSUMER TECHNOLOGY ASSOCIATION,in_house,CONSUMER TECHNOLOGY ASSOCIATION,6,21000.0,2022-03-10,2025-05-23
DelBene,D000617,THE HOME DEPOT,in_house,HOME DEPOT,5,20000.0,2022-01-30,2023-09-29
DelBene,D000617,CATERPILLAR INC.,third_party_firm,CATERPILLAR INC,5,17500.0,2022-09-06,2025-09-15
DelBene,D000617,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,in_house,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,11,17000.0,2022-02-16,2025-11-12
DelBene,D000617,VERIZON COMMUNICATIONS INC. AND VARIOUS SUBSIDIARIES,third_party_firm,VERIZON COMMUNICATIONS INC AND VARIOUS SUBSIDIARIES,4,17000.0,2022-09-15,2025-06-19
DelBene,D000617,AMERICAN BANKERS ASSOCIATION,in_house,AMERICAN BANKERS ASSOCIATION,7,16000.0,2022-09-22,2025-11-19
DelBene,D000617,UNITED SERVICES AUTOMOBILE ASSOCIATION,in_house,UNITED SERVICES AUTOMOBILE ASSOCIATION,7,14500.0,2022-10-04,2025-08-06
DelBene,D000617,AMERICAN LAND TITLE ASSOCIATION,in_house,AMERICAN LAND TITLE ASSOCIATION,8,13500.0,2022-06-14,2025-05-15
DelBene,D000617,"TOYOTA MOTOR NORTH AMERICA, INC. (TMA)",third_party_firm,TOYOTA MOTOR NORTH AMERICA INC (TMA),9,13500.0,2022-08-12,2025-12-18
DelBene,D000617,LOWE'S COMPANIES INC.,in_house,LOWE'S COMPANIES INC.,6,13500.0,2022-03-25,2025-12-18
DelBene,D000617,AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION FKA PROPERTY CASUALTY INSURERS ASSOC. OF AMERICA,third_party_firm,AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION,9,13000.0,2023-01-20,2025-11-18
DelBene,D000617,"MEHLMAN CONSULTING, INC.",third_party_firm,"CHUBB INA HOLDINGS, INC.; CLOUDFLARE; EPIC SYSTEMS CORPORATION; INDEED, INC.; INFORMATION TECHNOLOGY INDUSTRY COUNCIL (ITI); NATIONAL RESTAURANT ASSOCIATION; NETFLIX, INC.; NOTARIZE, INC. DBA PROOF.COM; ONFIDO, INC.; PALO ALTO NETWORKS, INC.; RAPID7, INC.; RETAIL INDUSTRY LEADERS ASSOCIATION (RILA); ROCK CENTRAL; SAP AMERICA, INC.; THE BUSINESS ROUNDTABLE; TIKTOK INC.; TNC (US) HOLDINGS, INC. (FORMERLY NIELSEN); TWILIO, INC.",20,12865.0,2022-03-15,2025-03-31
DelBene,D000617,VENN STRATEGIES,third_party_firm,THRIVENT FINANCIAL FOR LUTHERANS,8,12750.0,2023-06-09,2025-12-19
DelBene,D000617,"BROWNSTEIN HYATT FARBER SCHRECK, LLP",third_party_firm,CREDIT KARMA AN INTUIT AFFILIATE; MCDONALD'S CORPORATION; RELX INC; THE INSTITUTE FOR LEGAL REFORM - U.S. CHAMBER OF COMMERCE,10,12000.0,2022-05-06,2025-11-13
DelBene,D000617,HOLLAND & KNIGHT LLP,third_party_firm,ALIBABA GROUP HOLDING LIMITED; THOMSON REUTERS,12,12000.0,2023-11-07,2025-01-27
DelBene,D000617,TARGET CORPORATION,in_house,TARGET CORPORATION,5,10500.0,2022-02-15,2025-03-28
DelBene,D000617,PRIMERICA LIFE INSURANCE COMPANY,in_house,PRIMERICA LIFE INSURANCE COMPANY,10,10500.0,2022-06-21,2025-06-25
DelBene,D000617,AKIN GUMP STRAUSS HAUER & FELD,third_party_firm,"BUSINESS ROUNDTABLE; NATIONAL ASSOCIATION OF REALTORS; NCTA-THE INTERNET & TELEVISION ASSOCIATION; PROFESSIONAL BACKGROUND SCREENERS ASSOCIATION; TRANSUNION; VERIZON COMMUNICATIONS; VISA, U.S.A., INC.",10,10025.0,2022-05-24,2025-07-09
DelBene,D000617,THE PROCTER AND GAMBLE COMPANY,in_house,THE PROCTER AND GAMBLE COMPANY,5,10000.0,2022-03-28,2024-06-21
DelBene,D000617,INDEPENDENT INSURANCE AGENTS & BROKERS OF AMERICA,in_house,INDEPENDENT INSURANCE AGENTS & BROKERS OF AMERICA,4,10000.0,2023-07-28,2025-03-10
DelBene,D000617,GUARDIAN LIFE INSURANCE COMPANY OF AMERICA,in_house,GUARDIAN LIFE INSURANCE COMPANY OF AMERICA,4,9500.0,2022-06-23,2025-05-01
