member_name,committee,feca_2022,feca_2023,feca_2024,feca_2025,spike_23_vs_22,avg_post_vs_pre
Jason Smith,House Committee on Ways and Means,1349720,2674511,2226308,2913525,1.98,1.82
Mike Bost,House Committee on Veterans' Affairs,284200,458485,375700,394500,1.61,1.47
Jim Jordan,House Committee on the Judiciary,143850,195750,187100,447181,1.36,1.33
David Schweikert,Joint Economic Committee,281300,366300,682300,441100,1.3,1.86
Bruce Westerman,House Committee on Natural Resources,468000,598249,629150,665550,1.28,1.31
Bryan Steil,Joint Committee of Congress on the Library,2610911,3284163,3726555,3595164,1.26,1.34
Mike Rogers,House Committee on Armed Services,525013,598456,624753,707500,1.14,1.16
Sam Graves,House Committee on Transportation and Infrastructure,666295,749761,601550,834850,1.13,1.01
Jodey C. Arrington,House Committee on the Budget,640250,715678,809975,556500,1.12,1.19
Glenn Thompson,House Committee on Agriculture,588106,658664,517623,374750,1.12,1.0
Tom Cole,House Committee on Appropriations,497810,545981,1293783,1199558,1.1,1.85
John R. Moolenaar,House Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party,330034,355015,508132,360420,1.08,1.31
Andrew R. Garbarino,House Committee on Homeland Security,852393,888344,982996,1072500,1.04,1.1
James Comer,House Committee on Oversight and Government Reform,462725,454800,410900,290250,0.98,0.94
Brett Guthrie,House Committee on Energy and Commerce,708340,648531,1532624,2611352,0.92,1.54
Virginia Foxx,House Committee on Rules,454754,413716,415300,214950,0.91,0.91
J. French Hill,House Committee on Financial Services,260500,233000,265502,0,0.89,0.96
Tim Walberg,House Committee on Education and Workforce,206092,182684,272398,430535,0.89,1.1
Eric A. "Rick" Crawford,House Permanent Select Committee on Intelligence,288400,240877,436583,242192,0.84,1.17
Roger Williams,House Committee on Small Business,258890,218350,295732,205228,0.84,0.99
Brian Babin,House Committee on Science Space and Technology,223745,172129,320545,358705,0.77,1.1
Barry Loudermilk,House Select Subcommittee to Investigate the Remaining Questions Surrounding January 6 2021,263040,202250,218050,136500,0.77,0.8
Brian J. Mast,House Committee on Foreign Affairs,175445,110850,163800,267418,0.63,0.78
Michael Guest,House Committee on Ethics,370847,189710,210914,240750,0.51,0.54
