pair,score,n_mentions,n_contribs,member,party,state,chamber,is_current,first_contrib,last_contrib,first_mention,last_mention,sample_url,entity_id,bioguide
"VISA, INC. -> Steve Daines",97500.0,2,12,Steve Daines,Republican,MT,sen,1,2022-09-19,2025-12-18,2024-10-03,2025-03-28,https://www.daines.senate.gov/2025/03/28/daines-announces-bill-to-prevent-potential-terrorists-from-entering-the-united-states/,2204,D000618
SPACE EXPLORATION TECHNOLOGIES CORPORATION -> Ted Cruz,75000.0,4,5,Ted Cruz,Republican,TX,sen,1,2025-03-28,2025-09-19,2023-05-16,2025-04-16,https://www.cruz.senate.gov/newsroom/press-releases/sen-cruz-we-must-maintain-us-space-leadership-as-china-and-other-countries-seek-to-supplant-us,1895,C001098
CVS HEALTH (AND SUBSIDIARIES) -> Richard E. Neal,57500.0,2,12,Richard E. Neal,Democrat,MA,rep,1,2022-03-29,2025-12-17,2023-04-13,2025-07-17,https://neal.house.gov/2025/07/17/neal-democratic-health-leaders-urge-insurers-to-cover-vaccines/,668,N000015
SPACE EXPLORATION TECHNOLOGIES CORPORATION -> Vince Fong,52500.0,2,11,Vince Fong,Republican,CA,rep,1,2024-01-31,2025-10-14,2024-10-18,2025-03-18,https://fong.house.gov/media/press-releases/rep-vince-fong-calls-out-california-coastal-commission-political-bias,1895,F000480
GENERAL DYNAMICS CORPORATION -> Joe Courtney,45500.0,15,20,Joe Courtney,Democrat,CT,rep,1,2022-02-07,2025-12-09,2022-07-28,2025-12-10,https://courtney.house.gov/media-center/press-releases/rep-courtney-votes-pass-bipartisan-bill-expand-americans-access,919,C001069
"ENTERGY SERVICES, LLC -> Troy A. Carter",45200.0,5,25,Troy A. Carter,Democrat,LA,rep,1,2022-02-02,2025-12-15,2023-10-19,2025-01-10,https://troycarter.house.gov/media/press-releases/congressman-troy-carter-sr-statement-passing-daniel-f-packer-jr,785,C001125
BOEING COMPANY -> Mark R. Warner,45000.0,4,37,Mark R. Warner,Democrat,VA,sen,1,2022-04-12,2025-11-14,2022-05-05,2026-02-12,https://www.warner.senate.gov/public/index.cfm/pressreleases?ID=FE9092C4-A98A-4FC8-986B-0783E86C6E46,406,W000805
BOEING COMPANY -> Adam Smith,44500.0,6,17,Adam Smith,Democrat,WA,rep,1,2022-03-01,2025-11-14,2024-05-09,2024-11-06,https://adamsmith.house.gov/news/press-releases/rep-smith-statement-stalled-labor-negotiations-between-boeing-and-union-workers,406,S000510
PACIFIC GAS AND ELECTRIC COMPANY (FORMERLY PG&E CORPORATION) -> Mike Thompson,43000.0,19,16,Mike Thompson,Democrat,CA,rep,1,2022-04-08,2025-10-13,2022-11-21,2025-09-23,https://mikethompson.house.gov/newsroom/press-releases/thompson-steube-panetta-lamalfa-introduce-bipartisan-bill-extending-federal,1550,T000460
SPACE EXPLORATION TECHNOLOGIES CORPORATION -> John Cornyn,42500.0,3,9,John Cornyn,Republican,TX,sen,1,2023-09-22,2025-04-11,2024-12-19,2026-01-12,https://www.cornyn.senate.gov/news/video-cornyn-outlines-priorities-for-doge-pentagon-reforms/,1895,C001056
AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE -> Maria Elvira Salazar,41300.0,2,11,Maria Elvira Salazar,Republican,FL,rep,1,2022-04-14,2024-09-24,2023-12-06,2023-12-06,https://salazar.house.gov/media/press-releases/salazar-introduces-legislation-address-antisemitism-united-states,194,S000168
"VISA, INC. -> Richard Hudson",41000.0,2,7,Richard Hudson,Republican,NC,rep,1,2023-12-14,2025-08-20,2024-02-23,2025-02-11,https://hudson.house.gov/press-releases/reps-hudson-moore-barr-introduce-legislation-to-stop-unconstitutional-tracking-of,2204,H001067
BOEING COMPANY -> Lindsey Graham,40900.0,5,17,Lindsey Graham,Republican,SC,sen,1,2022-04-12,2025-10-27,2022-04-22,2025-05-14,https://www.lgraham.senate.gov/public/index.cfm/press-releases?ID=F89DACBE-E963-460F-9F88-4FBE77A0E125,406,G000359
"CREDIT UNION NATIONAL ASSOCIATION, INC. DBA AMERICA'S CREDIT UNIONS -> Andy Barr",40000.0,3,8,Andy Barr,Republican,KY,rep,1,2022-09-12,2025-12-15,2023-12-15,2025-05-03,https://barr.house.gov/press-releases?ID=B168D678-0C8F-4766-B711-1C51D5C74372,644,B001282
"TRANSPORT WORKERS UNION OF AMERICA, AFL-CIO -> Brian K. Fitzpatrick",40000.0,2,8,Brian K. Fitzpatrick,Republican,PA,rep,1,2022-03-17,2025-09-17,2022-04-07,2024-05-17,https://fitzpatrick.house.gov/2024/5/fitzpatrick-cartwright-reintroduce-bill-to-protect-the-rights-of-public-employees,2088,F000466
"AMAZON.COM SERVICES, INC. -> Mark R. Warner",39200.0,5,17,Mark R. Warner,Democrat,VA,sen,1,2022-09-12,2025-09-29,2023-08-16,2025-03-25,https://www.warner.senate.gov/public/index.cfm/pressreleases?ID=E4C382BD-E6B4-4330-84A5-5382791B8FC8,125,W000805
BOEING COMPANY -> Rick Larsen,39000.0,12,14,Rick Larsen,Democrat,WA,rep,1,2022-01-13,2025-11-14,2022-01-31,2026-02-11,https://larsen.house.gov/news/documentsingle.aspx?DocumentID=4106,406,L000560
COMCAST CORPORATION -> Doris O. Matsui,39000.0,5,17,Doris O. Matsui,Democrat,CA,rep,1,2022-04-28,2025-12-16,2023-10-27,2025-03-31,https://matsui.house.gov/media/in-the-news/west-sacramento-news-ledger-community-thanked-during-state-city,586,M001163
