committee_id issue_code  raw_best_lag  raw_best_corr  raw_best_n  raw_lag0_corr  diff_best_lag  diff_best_corr  diff_lag0_corr  trend_survives  total_lobby  total_committee_press
      HSIF16        COM             3       0.960236           6      -0.019629             -1        0.564475        0.026255           False         4738                     68
      SSFI10        MMM             2      -0.920863           9       0.059208              1        0.892832        0.071782           False        30011                    846
      SSCM34        COM             2      -0.917698           7      -0.062706              1        0.864186        0.064000           False         4738                    150
      HSIF14        MMM             2      -0.931420           7       0.161581              1        0.923363       -0.327324           False        27873                    365
      HSIF17        MAN             2      -0.873661           7       0.104388             -1       -0.760654        0.022931           False         8578                    202
      HSBA16        FIN             3      -0.795768           8       0.082171             -1       -0.492350       -0.184127           False        21061                   1062
      SSBK04        INS             1      -0.777922          12      -0.066396              0        0.779403        0.779403           False         5941                    123
      SSEG01        ENG            -2       0.913115           7       0.241696              0       -0.520418       -0.520418           False        29953                   1831
        HSED        EDU             3      -0.860369          10       0.189605              2        0.437983        0.087116           False        19639                   2930
      HSIF14        HCR             3      -0.927675           6       0.262648              0        0.558212        0.558212           False        60468                   1686
      SSCM33        AVI            -3       0.897027           6       0.254498              1       -0.680537        0.329815           False         9869                    315
        HSSM        SMB             3      -0.812706          10      -0.208726             -2        0.539223       -0.336508           False         4962                    793
      SSCM36        MAR            -1       0.659783          10      -0.059159              1       -0.666144       -0.354338           False         6531                    293
      SSFI11        TAX             3       0.804176           8       0.205120              1        0.452018        0.229119           False        53745                   3474
        SSHR        EDU            -1       0.845800          12       0.262432              0       -0.567793       -0.567793           False        19639                   2177
        SSAF        AGR             3      -0.654898          10       0.084150              1        0.552500       -0.086611           False        21637                   2626
        HSHM        HOM             3      -0.612094          10      -0.042755             -2        0.665915       -0.167815           False        12305                   1703
      SSCM38        TRA             3      -0.973321           6      -0.436406              0       -0.274553       -0.274553           False        32821                   2212
        SSJU        LAW            -1       0.639025          12      -0.102313              0       -0.547254       -0.547254           False         8232                   1101
        HSJU        LAW             3      -0.684319          10      -0.168686              2        0.844694       -0.353815           False         8232                    586
      HSIF03        ENG            -2       0.737332           7       0.240883             -1       -0.619347       -0.211162           False        29953                    975
        SSFR        FOR            -3       0.589576          10       0.101360              2        0.612083       -0.366391           False         6419                   1533
        HSAP        BUD             3      -0.755791          10       0.301122             -2       -0.899845        0.153644           False       113129                   3899
      HSBA20        BAN             2      -0.494355           6      -0.068868              0       -0.379750       -0.379750           False         8019                    373
      SSFI02        RET             3      -0.434527           8       0.010387              1        0.399841        0.116720           False         3622                    205
