registrant_name,registrant_id,senate_activities,house_activities,senate_gov_pct,house_gov_pct,score
EFRUS FEDERAL ADVISORS LLC,401012859,75,87,92.0,78.2,13.8
THE VECTRE CORPORATION,39928,86,119,31.4,21.0,10.4
HETTINGER STRATEGY GROUP LLC,401103542,148,166,64.9,57.2,7.6
AURORA STRATEGIC ADVISORS,401105992,109,118,100.0,92.4,7.6
"BRIDGE STREET GROUP, LLC",401103692,57,75,29.8,22.7,7.2
MS. LILLIAN SPARKS,401106376,50,87,0.0,6.9,6.9
"EMC STRATEGY GROUP, LLC",401104382,78,185,10.3,4.3,5.9
"CAPITOL ENERGY ADVOCACY, LLC",401106238,66,98,18.2,12.2,5.9
PETER DAMON GROUP LLC,401104738,155,249,14.2,8.8,5.4
THE MCDONNELL GROUP LLC,401105928,53,61,24.5,19.7,4.9
"THOMAS WALTERS & ASSOCIATES, INC.",55438,118,124,42.4,37.9,4.5
PROFESSIONAL SERVICES COUNCIL,32282,69,79,17.4,21.5,4.1
GPSLLC,400549647,87,97,35.6,32.0,3.7
KAPLAN KIRSCH LLP (FORMERLY KAPLAN KIRSCH & ROCKWELL LLP),285712,64,280,4.7,1.1,3.6
DRUMMOND WOODSUM STRATEGIC CONSULTING LLC,401106148,102,156,9.8,6.4,3.4
NORTHERN COMPASS GROUP LLC,401106014,101,157,7.9,5.1,2.8
CAPITOL CONSULTANTS LLC,89895,58,60,31.0,28.3,2.7
LIBERTY GOVERNMENT AFFAIRS,401104531,87,94,8.0,10.6,2.6
FROST BROWN TODD LLC,283572,82,101,6.1,4.0,2.1
"A10 ASSOCIATES, LLC",401105040,534,638,12.9,10.8,2.1
CAPITOL HILL COMMUNICATIONS,401107742,75,65,13.3,15.4,2.1
STEEL MANUFACTURERS ASSOCIATION,36572,64,61,7.8,9.8,2.0
WATKINS & EAGER PLLC,401104403,225,236,42.7,40.7,2.0
BONDI PARTNERS ADVOCACY CORP. (FKA PACIFIC PARTNERS),401107028,51,51,3.9,2.0,2.0
HARPER & BAILEY GOVERNMENTAL SOLUTIONS LLC,401108978,96,99,64.6,62.6,2.0
FRONTLINE GOVERNMENT RELATIONS,401109481,54,52,3.7,1.9,1.8
"G S PROCTOR AND ASSOCIATES, INC",294212,155,188,9.7,8.0,1.7
"CORCORAN & ASSOCIATES, INC. DBA CORCORAN PARTNERS",401109009,393,503,7.6,6.0,1.7
CLEVELAND-CLIFFS INC.,9487,83,73,8.4,6.8,1.6
"TSG ADVOCATES DC, LLC",401109292,531,545,13.0,11.4,1.6
MR. H.R. BERT PENA,400323519,131,149,12.2,10.7,1.5
MWR CONSULTING,401104301,52,55,26.9,25.5,1.5
NATIONAL ORGANIZATION OF SOCIAL SECURITY CLAIMANTS' REPRESENTATIVES,28253,54,53,27.8,26.4,1.4
MOVEON.ORG CIVIC ACTION,401106098,78,80,5.1,3.8,1.4
AMERICAN POLICY VENTURES ACTION,401107570,63,59,4.8,3.4,1.4
MAYER BROWN LLP,24123,564,867,3.7,2.4,1.3
MR. DAN PERRIN,40033289,154,185,7.8,6.5,1.3
ZOETIS INC.,401043937,58,54,6.9,5.6,1.3
"MEEKS, BUTERA & ISRAEL PLLC",401105818,106,146,4.7,3.4,1.3
PERATON CORP.,401106618,62,56,4.8,3.6,1.3
STEVE PETERSEN & ASSOCIATES,401106734,82,76,0.0,1.3,1.3
THE AMERICAN INSTITUTE OF ARCHITECTS,2638,151,149,13.2,12.1,1.2
MR. JOHN NAPIER,283594,75,108,4.0,2.8,1.2
DEFAZIO AND ASSOCIATES CONSULTING LLC,401108234,65,77,7.7,6.5,1.2
"SHAW, BRANSFORD & ROTH, P.C. (FORMERLY SHAW, BRANSFORD, VEILLEUX & ROTH, P.C.)",34980,114,117,43.0,41.9,1.1
THE BENNETT CONSULTING GROUP,400713139,171,208,3.5,2.4,1.1
"JOHN LADD & ASSOCIATES, INC.",401105133,82,87,18.3,17.2,1.1
SCHAERR JAFFE LLP,401105389,141,175,5.7,4.6,1.1
SKYLINE CAPITOL LLC,401108050,163,168,17.8,16.7,1.1
"CM STRATEGIC, LLC",401109872,88,62,1.1,0.0,1.1
