registrant_name,registrant_id,house_only,senate_only,both,score
"MERCHANT MCINTYRE & ASSOCIATES, LLC",401104322,56,24,1184,32
GENESIS GROUP LLC,48760,31,7,70,24
"GOVERNMENT RELATIONS GROUP, LLC",401104340,23,2,252,21
ACORN CONSULTING,401107972,17,3,149,14
"THE OB-C GROUP, LLC",29802,14,1,121,13
"ROBISON INTERNATIONAL, INC.",33512,13,0,37,13
MS. VIRGINIA AINSLIE,534,12,0,13,12
AT-SEA PROCESSORS ASSOCIATION,4868,11,0,16,11
"GOVERNMENT AFFAIRS SOLUTIONS, LLC",401106818,11,0,74,11
"FIGHTING APARTHEID CONFRONTATION TRANSFORMATION SYSTEMS, INC.",14495,11,1,4,10
CAPITOL CAPITAL GROUP,58170,10,1,4,9
"FAHMY HUDOME INTERNATIONAL, INC",91411,10,1,22,9
"AZ DC CONSULTING, LLC",401107844,9,0,75,9
COGNITAE,401109232,9,0,29,9
"FEDERAL MANAGEMENT STRATEGIES, INC.",14360,8,0,40,8
ERIS GROUP,82055,8,0,59,8
NELSON MULLINS RILEY & SCARBOROUGH,285871,8,0,632,8
"LEBLANC GOVERNMENT RELATIONS, LLC",400670003,8,0,54,8
MR. JAIME STEVE,400940714,8,0,60,8
MS. LILLIAN SPARKS,401106376,8,0,27,8
DAVID GENCARELLI,15918,7,0,38,7
MADISON GOVERNMENT AFFAIRS,23452,7,0,56,7
MR. CLIFF MADISON,23463,8,1,30,7
"ELLIS & COMPANY, LLC",63735,7,0,4,7
"MERCURY PUBLIC AFFAIRS, LLC",70175,13,6,1014,7
THE MONDELLO GROUP LLC,310791,8,1,55,7
BRODY GROUP L.L.C. PUBLIC AFFAIRS,323318,7,0,315,7
"S. VACA & ASSOCIATES, LLC",401047954,7,0,65,7
"GULF SOUTH STRATEGIES USA, LLC",401104307,9,2,30,7
"SHUMAKER ADVISORS, LLC",401104909,7,0,286,7
PAT WILLIAMS AND ASSOCIATES,401107279,7,0,41,7
"CUNEY, EDWARDS, WASHINGTON, AND ASSOCIATES",401107403,8,1,15,7
GREENTECH MINERALS HOLDINGS LLC (FKA GREENMET CONSULTING),401107820,7,0,16,7
MS. ANNA HANSEN,401107860,7,0,57,7
DEFAZIO AND ASSOCIATES CONSULTING LLC,401108234,7,0,36,7
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",7257,6,0,4707,6
"DELTA DEVELOPMENT GROUP, INC.",11993,8,2,283,6
"PARRY, ROMANI, DECONCINI & SYMMS",30792,6,0,99,6
ROCK & ASSOCIATES,33545,6,0,35,6
CAPITOL NETWORK LLC(FKA MR. DAVID DISTEFANO),78733,6,0,22,6
"TRIANGLE ASSOCIATES, INC.",79951,6,0,96,6
CAPITOL REPRESENTATIVES,306170,6,0,46,6
HOWELLS GOVERNMENT RELATIONS,310255,7,1,30,6
KRL INTERNATIONAL LLC,315898,9,3,72,6
CAPITOL ADVOCACY PARTNERS,401103211,11,5,199,6
"JMS NATURAL RESOURCE STRATEGIES, LLC",401107055,6,0,44,6
CENTER FOR AMERICAN MEDICINE RESILIENCY,401108537,8,2,2,6
"CHIPPS, CAFFREY AND DUBILIER, P. S. C.",401108716,7,1,1,6
"CORCORAN & ASSOCIATES, INC. DBA CORCORAN PARTNERS",401109009,6,0,149,6
INTERNATIONAL ASSOCIATION OF CHIEFS OF POLICE,19731,5,0,14,5
