member_name,party,chamber,feca,peer_mean,peer_n,score
Jason Smith,Republican,rep,9164064.0,1037665.0,309,6.45
Hakeem S. Jeffries,Democrat,rep,6815324.0,898659.0,304,5.77
Richard E. Neal,Democrat,rep,6394947.0,898659.0,304,5.36
Katherine M. Clark,Democrat,rep,5542371.0,898659.0,304,4.53
"Frank Pallone, Jr.",Democrat,rep,5411755.0,898659.0,304,4.4
Mike Johnson,Republican,rep,6377076.0,1037665.0,309,4.24
Steve Scalise,Republican,rep,6288412.0,1037665.0,309,4.17
Kevin McCarthy,Republican,rep,5860635.0,1037665.0,309,3.83
Pete Aguilar,Democrat,rep,4686955.0,898659.0,304,3.7
James E. Clyburn,Democrat,rep,4607566.0,898659.0,304,3.62
John Thune,Republican,sen,7786335.0,2032973.0,68,3.59
Brett Guthrie,Republican,rep,5500847.0,1037665.0,309,3.54
Tom Emmer,Republican,rep,5486406.0,1037665.0,309,3.53
Richard Hudson,Republican,rep,5357996.0,1037665.0,309,3.43
Suzan K. DelBene,Democrat,rep,4352008.0,898659.0,304,3.37
Darin LaHood,Republican,rep,4875675.0,1037665.0,309,3.05
Steven Horsford,Democrat,rep,3965469.0,898659.0,304,2.99
Cathy McMorris Rodgers,Republican,rep,4761927.0,1037665.0,309,2.96
Andy Barr,Republican,rep,4644570.0,1037665.0,309,2.86
Steny H. Hoyer,Democrat,rep,3780201.0,898659.0,304,2.81
Brian K. Fitzpatrick,Republican,rep,4478807.0,1037665.0,309,2.73
Patrick T. McHenry,Republican,rep,4064647.0,1037665.0,309,2.4
Bradley Scott Schneider,Democrat,rep,3310052.0,898659.0,304,2.35
Andrew R. Garbarino,Republican,rep,3796233.0,1037665.0,309,2.19
Scott H. Peters,Democrat,rep,3085143.0,898659.0,304,2.13
Jon Tester,Democrat,sen,4588444.0,1623049.0,57,2.13
Terri A. Sewell,Democrat,rep,3029497.0,898659.0,304,2.08
John Barrasso,Republican,sen,5345533.0,2032973.0,68,2.06
Mark R. Warner,Democrat,sen,4490655.0,1623049.0,57,2.06
Tom Cole,Republican,rep,3537132.0,1037665.0,309,1.98
Sherrod Brown,Democrat,sen,4347673.0,1623049.0,57,1.96
"Robert P. Casey, Jr.",Democrat,sen,4328826.0,1623049.0,57,1.95
Rick Larsen,Democrat,rep,2893485.0,898659.0,304,1.95
Margaret Wood Hassan,Democrat,sen,4150219.0,1623049.0,57,1.82
Mike Crapo,Republican,sen,4917292.0,2032973.0,68,1.8
Bryan Steil,Republican,rep,3304198.0,1037665.0,309,1.8
Ken Calvert,Republican,rep,3242084.0,1037665.0,309,1.75
Gregory W. Meeks,Democrat,rep,2695869.0,898659.0,304,1.75
John Cornyn,Republican,sen,4830044.0,2032973.0,68,1.74
Mike Carey,Republican,rep,3161835.0,1037665.0,309,1.69
Ashley Hinson,Republican,rep,3129087.0,1037665.0,309,1.66
Jimmy Panetta,Democrat,rep,2586062.0,898659.0,304,1.65
Martin Heinrich,Democrat,sen,3901513.0,1623049.0,57,1.64
Ann Wagner,Republican,rep,3108360.0,1037665.0,309,1.64
Lisa Blunt Rochester,Democrat,sen,3892203.0,1623049.0,57,1.63
Adrian Smith,Republican,rep,3096085.0,1037665.0,309,1.63
Kevin Hern,Republican,rep,3045931.0,1037665.0,309,1.59
Tim Kaine,Democrat,sen,3840708.0,1623049.0,57,1.59
"Earl L. ""Buddy"" Carter",Republican,rep,3019064.0,1037665.0,309,1.57
Angie Craig,Democrat,rep,2500620.0,898659.0,304,1.56
John Joyce,Republican,rep,3004669.0,1037665.0,309,1.56
Haley M. Stevens,Democrat,rep,2498627.0,898659.0,304,1.56
Young Kim,Republican,rep,2959397.0,1037665.0,309,1.53
Jacky Rosen,Democrat,sen,3741509.0,1623049.0,57,1.52
Josh Gottheimer,Democrat,rep,2432440.0,898659.0,304,1.5
David G. Valadao,Republican,rep,2915196.0,1037665.0,309,1.49
Joyce Beatty,Democrat,rep,2398055.0,898659.0,304,1.46
Sam Graves,Republican,rep,2852456.0,1037665.0,309,1.44
Katie Boyd Britt,Republican,sen,4321454.0,2032973.0,68,1.43
Mike Thompson,Democrat,rep,2364181.0,898659.0,304,1.43
