pair,score,n_contribs_in_window,tightest_gap_days,pair_total_usd,n_contribs_total,member,party,state,entity_id,bioguide
GENERAL DYNAMICS CORPORATION -> Joe Courtney,38500.0,16,1.0,43000.0,18,Joe Courtney,Democrat,CT,1201,C001069
"NATIONAL SHOOTING SPORTS FOUNDATION, INC. -> Richard Hudson",30000.0,6,6.0,37000.0,9,Richard Hudson,Republican,NC,402,H001067
MICROSOFT CORPORATION -> Mark R. Warner,28500.0,7,6.0,28500.0,7,Mark R. Warner,Democrat,VA,1875,W000805
GENERAL MOTORS COMPANY -> Charles E. Schumer,22500.0,5,3.0,22500.0,5,Charles E. Schumer,Democrat,NY,1208,S000148
"AMAZON.COM SERVICES, INC. -> Mark R. Warner",20000.0,5,5.0,38200.0,15,Mark R. Warner,Democrat,VA,1225,W000805
GENERAL DYNAMICS CORPORATION -> Jack Reed,19000.0,7,4.0,32000.0,13,Jack Reed,Democrat,RI,1201,R000122
BOEING COMPANY -> Rick Larsen,18500.0,8,5.0,37500.0,13,Rick Larsen,Democrat,WA,1942,L000560
"TRANSPORT WORKERS UNION OF AMERICA, AFL-CIO -> Michael Lawler",18000.0,5,11.0,20000.0,6,Michael Lawler,Republican,NY,61,L000599
CREDIT UNION NATIONAL ASSOCIATION. INC. DBA AMERICA'S CREDIT UNIONS -> Scott Fitzgerald,17500.0,6,2.0,24000.0,9,Scott Fitzgerald,Republican,WI,200,F000471
COMCAST CORPORATION -> Doris O. Matsui,16500.0,7,6.0,36000.0,15,Doris O. Matsui,Democrat,CA,1874,M001163
PACIFIC GAS AND ELECTRIC COMPANY (FORMERLY PG&E CORPORATION) -> Mike Thompson,16500.0,5,20.0,38000.0,13,Mike Thompson,Democrat,CA,379,T000460
EXXON MOBIL CORPORATION -> Lisa Murkowski,16250.0,4,19.0,17750.0,6,Lisa Murkowski,Republican,AK,1285,M001153
CORNING INCORPORATED -> Charles E. Schumer,15000.0,3,0.0,20000.0,4,Charles E. Schumer,Democrat,NY,1946,S000148
BOEING COMPANY -> Jerry Moran,15000.0,7,2.0,23500.0,11,Jerry Moran,Republican,KS,1942,M000934
BOEING COMPANY -> Lindsey Graham,15000.0,3,10.0,35500.0,15,Lindsey Graham,Republican,SC,1942,G000359
SPACE EXPLORATION TECHNOLOGIES CORPORATION -> Ted Cruz,15000.0,1,19.0,30000.0,2,Ted Cruz,Republican,TX,651,C001098
GENERAL DYNAMICS CORPORATION -> Richard E. Neal,14000.0,5,15.0,37000.0,13,Richard E. Neal,Democrat,MA,1201,N000015
"AMERICAN AIRLINES INC (FORMERLY REPORTED AS ""AMERICAN AIRLINES"") -> Jerry Moran",13500.0,4,5.0,18500.0,5,Jerry Moran,Republican,KS,1202,M000934
"MICROSOFT CORPORATION -> Angus S. King, Jr.",12500.0,4,4.0,30000.0,8,"Angus S. King, Jr.",Independent,ME,1875,K000383
AMERICAN OPTOMETRIC ASSOCIATION -> Guy Reschenthaler,12500.0,3,6.0,35000.0,11,Guy Reschenthaler,Republican,PA,660,R000610
"TRANSPORT WORKERS UNION OF AMERICA, AFL-CIO -> Christopher R. Deluzio",12500.0,5,11.0,20000.0,8,Christopher R. Deluzio,Democrat,PA,61,D000530
PACIFIC GAS AND ELECTRIC COMPANY (FORMERLY PG&E CORPORATION) -> Salud O. Carbajal,12500.0,5,20.0,33000.0,12,Salud O. Carbajal,Democrat,CA,379,C001112
NORFOLK SOUTHERN CORPORATION -> Terri A. Sewell,12000.0,4,1.0,16000.0,5,Terri A. Sewell,Democrat,AL,1256,S001185
"AMAZON.COM SERVICES, INC. -> Tim Kaine",11700.0,9,7.0,22250.0,12,Tim Kaine,Democrat,VA,1225,K000384
NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION -> Sean Casten,11000.0,4,0.0,11000.0,4,Sean Casten,Democrat,IL,157,C001117
NORTHROP GRUMMAN CORPORATION -> John Hoeven,11000.0,5,8.0,21000.0,8,John Hoeven,Republican,ND,1372,H001061
MICROSOFT CORPORATION -> Tammy Baldwin,11000.0,3,35.0,32000.0,9,Tammy Baldwin,Democrat,WI,1875,B001230
NATIONAL MINING ASSOCIATION -> John Barrasso,10800.0,4,27.0,21300.0,10,John Barrasso,Republican,WY,674,B001261
BNSF RAILWAY COMPANY -> Kevin Cramer,10500.0,3,3.0,17500.0,7,Kevin Cramer,Republican,ND,1322,C001096
BNSF RAILWAY COMPANY -> John Hoeven,10500.0,3,8.0,18000.0,5,John Hoeven,Republican,ND,1322,H001061
AMERICAN OPTOMETRIC ASSOCIATION -> Kevin Cramer,10000.0,2,0.0,29500.0,7,Kevin Cramer,Republican,ND,660,C001096
ALZHEIMER'S ASSOCIATION -> Shelley Moore Capito,10000.0,2,2.0,10000.0,2,Shelley Moore Capito,Republican,WV,1340,C001047
GENERAL DYNAMICS CORPORATION -> Kevin Cramer,10000.0,5,2.0,22500.0,13,Kevin Cramer,Republican,ND,1201,C001096
BNSF RAILWAY COMPANY -> Troy E. Nehls,10000.0,5,5.0,17000.0,10,Troy E. Nehls,Republican,TX,1322,N000026
"SAMSUNG ELECTRONICS AMERICA, INC. -> Michael T. McCaul",10000.0,2,5.0,19000.0,4,Michael T. McCaul,Republican,TX,642,M001157
GENERAL MOTORS COMPANY -> Gary C. Peters,10000.0,3,7.0,15000.0,4,Gary C. Peters,Democrat,MI,1208,P000595
"TRANSPORT WORKERS UNION OF AMERICA, AFL-CIO -> Donald Norcross",10000.0,2,7.0,30000.0,6,Donald Norcross,Democrat,NJ,61,N000188
SPACE EXPLORATION TECHNOLOGIES CORPORATION -> Vince Fong,10000.0,2,8.0,22500.0,5,Vince Fong,Republican,CA,651,F000480
CSX CORPORATION -> Mark R. Warner,10000.0,2,10.0,22500.0,5,Mark R. Warner,Democrat,VA,1959,W000805
MICROSOFT CORPORATION -> Bennie G. Thompson,10000.0,2,10.0,20000.0,6,Bennie G. Thompson,Democrat,MS,1875,T000193
BOEING COMPANY -> Katie Boyd Britt,10000.0,2,12.0,23000.0,7,Katie Boyd Britt,Republican,AL,1942,B001319
GENERAL ATOMICS -> Kevin Cramer,10000.0,4,12.0,20500.0,7,Kevin Cramer,Republican,ND,1257,C001096
"AMAZON.COM SERVICES, INC. -> Ron Wyden",10000.0,2,12.0,20500.0,5,Ron Wyden,Democrat,OR,1225,W000779
"T-MOBILE USA, INC. -> Doris O. Matsui",10000.0,2,14.0,31500.0,11,Doris O. Matsui,Democrat,CA,615,M001163
NCTA - THE INTERNET & TELEVISION ASSOCIATION (FKA NAT'L CABLE & TELECOM ASSOC.) -> John Thune,10000.0,2,15.0,20000.0,4,John Thune,Republican,SD,75,T000250
MICROSOFT CORPORATION -> Tom Cotton,10000.0,2,18.0,10000.0,2,Tom Cotton,Republican,AR,1875,C001095
BNSF RAILWAY COMPANY -> Rick Larsen,10000.0,4,21.0,15000.0,7,Rick Larsen,Democrat,WA,1322,L000560
"ELEVANCE HEALTH, INC. (FORMERLY REPORTED AS ANTHEM, INC.) -> Angus S. King, Jr.",10000.0,2,27.0,35000.0,8,"Angus S. King, Jr.",Independent,ME,1249,K000383
ELI LILLY AND COMPANY -> Todd Young,10000.0,2,27.0,20000.0,5,Todd Young,Republican,IN,622,Y000064
VERIZON COMMUNICATIONS INC. AND VARIOUS SUBSIDIARIES -> Charles E. Schumer,10000.0,2,28.0,20000.0,4,Charles E. Schumer,Democrat,NY,635,S000148
CREDIT UNION NATIONAL ASSOCIATION. INC. DBA AMERICA'S CREDIT UNIONS -> Andy Barr,10000.0,2,28.0,40000.0,8,Andy Barr,Republican,KY,200,B001282
"L3HARRIS TECHNOLOGIES, INC. -> Charles E. Schumer",10000.0,2,42.0,25000.0,5,Charles E. Schumer,Democrat,NY,1774,S000148
AMERICAN HOTEL & LODGING ASSOCIATION -> Darin LaHood,10000.0,2,42.0,20000.0,5,Darin LaHood,Republican,IL,156,L000585
AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE -> Brian K. Fitzpatrick,10000.0,2,42.0,25000.0,6,Brian K. Fitzpatrick,Republican,PA,145,F000466
"NATIONAL SHOOTING SPORTS FOUNDATION, INC. -> Tom Emmer",10000.0,2,54.0,10000.0,2,Tom Emmer,Republican,MN,402,E000294
CREDIT UNION NATIONAL ASSOCIATION. INC. DBA AMERICA'S CREDIT UNIONS -> Juan Vargas,9500.0,3,13.0,21000.0,7,Juan Vargas,Democrat,CA,200,V000130
ELI LILLY AND COMPANY -> Tim Kaine,9000.0,2,49.0,28500.0,10,Tim Kaine,Democrat,VA,622,K000384
BOEING COMPANY -> Mark R. Warner,8500.0,5,14.0,43000.0,32,Mark R. Warner,Democrat,VA,1942,W000805
NCTA - THE INTERNET & TELEVISION ASSOCIATION (FKA NAT'L CABLE & TELECOM ASSOC.) -> Kat Cammack,8500.0,3,26.0,16000.0,5,Kat Cammack,Republican,FL,75,C001039
BOEING COMPANY -> Wesley Bell,8450.0,6,11.0,21950.0,11,Wesley Bell,Democrat,MO,1942,B001324
"ENTERGY SERVICES, LLC -> Troy A. Carter",8350.0,7,20.0,44200.0,24,Troy A. Carter,Democrat,LA,1231,C001125
"AMAZON.COM SERVICES, INC. -> Tammy Baldwin",8000.0,4,3.0,18000.0,8,Tammy Baldwin,Democrat,WI,1225,B001230
LOCKHEED MARTIN CORPORATION -> Rosa L. DeLauro,8000.0,7,5.0,8000.0,7,Rosa L. DeLauro,Democrat,CT,1221,D000216
AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE -> Bradley Scott Schneider,7900.0,2,31.0,27100.0,8,Bradley Scott Schneider,Democrat,IL,145,S001190
AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE -> Ronny Jackson,7900.0,2,32.0,27900.0,6,Ronny Jackson,Republican,TX,145,J000304
CNX RESOURCES CORPORATION -> Carol D. Miller,7500.0,2,0.0,10000.0,3,Carol D. Miller,Republican,WV,1323,M001205
"BAE SYSTEMS, INC. -> Scott H. Peters",7500.0,2,4.0,28500.0,12,Scott H. Peters,Democrat,CA,1304,P000608
CREDIT UNION NATIONAL ASSOCIATION. INC. DBA AMERICA'S CREDIT UNIONS -> Joyce Beatty,7500.0,3,5.0,25000.0,8,Joyce Beatty,Democrat,OH,200,B001281
AMERICAN CLEAN POWER ASSOCIATION -> John R. Curtis,7500.0,2,6.0,15000.0,5,John R. Curtis,Republican,UT,331,C001114
CREDIT UNION NATIONAL ASSOCIATION. INC. DBA AMERICA'S CREDIT UNIONS -> Mike Crapo,7500.0,2,8.0,17500.0,4,Mike Crapo,Republican,ID,200,C000880
NCTA - THE INTERNET & TELEVISION ASSOCIATION (FKA NAT'L CABLE & TELECOM ASSOC.) -> Doris O. Matsui,7500.0,2,9.0,35500.0,11,Doris O. Matsui,Democrat,CA,75,M001163
MICROSOFT CORPORATION -> Jeanne Shaheen,7500.0,2,15.0,27500.0,6,Jeanne Shaheen,Democrat,NH,1875,S001181
AMERICAN HOTEL & LODGING ASSOCIATION -> Margaret Wood Hassan,7500.0,2,17.0,22500.0,7,Margaret Wood Hassan,Democrat,NH,156,H001076
"NATIONAL SHOOTING SPORTS FOUNDATION, INC. -> John Barrasso",7500.0,2,21.0,23500.0,7,John Barrasso,Republican,WY,402,B001261
UNION PACIFIC CORPORATION -> Pete Ricketts,7500.0,3,24.0,28500.0,8,Pete Ricketts,Republican,NE,1465,R000618
GENERAL DYNAMICS CORPORATION -> Mazie K. Hirono,7000.0,3,6.0,29000.0,11,Mazie K. Hirono,Democrat,HI,1201,H001042
UNION PACIFIC CORPORATION -> Mike Quigley,7000.0,4,29.0,16500.0,10,Mike Quigley,Democrat,IL,1465,Q000023
BOEING COMPANY -> Richard E. Neal,6500.0,2,13.0,23500.0,12,Richard E. Neal,Democrat,MA,1942,N000015
GENERAL ATOMICS -> John Hoeven,6500.0,2,13.0,20000.0,6,John Hoeven,Republican,ND,1257,H001061
"GENENTECH, INC. -> Ruben Gallego",6500.0,2,34.0,7500.0,3,Ruben Gallego,Democrat,AZ,1877,G000574
ALLIANT ENERGY CORPORATION -> Tammy Baldwin,6500.0,2,43.0,8500.0,4,Tammy Baldwin,Democrat,WI,1373,B001230
LEAGUE OF CONSERVATION VOTERS -> Mike Levin,6400.870000000001,7,3.0,18030.61,21,Mike Levin,Democrat,CA,508,L000593
RECORDING INDUSTRY ASSOCIATION OF AMERICA INC -> Darrell Issa,6300.0,3,17.0,14300.0,9,Darrell Issa,Republican,CA,151,I000056
BOEING COMPANY -> Shelley Moore Capito,6000.0,2,0.0,22500.0,11,Shelley Moore Capito,Republican,WV,1942,C001047
NATIONAL ASSOCIATION OF BROADCASTERS -> Ted Cruz,6000.0,3,7.0,29500.0,10,Ted Cruz,Republican,TX,325,C001098
CSX CORPORATION -> Richard E. Neal,6000.0,2,17.0,9000.0,4,Richard E. Neal,Democrat,MA,1959,N000015
NAREIT -> Thom Tillis,6000.0,2,17.0,6000.0,2,Thom Tillis,Republican,NC,1940,T000476
"ALASKA AIRLINES, INC. -> Dan Sullivan",6000.0,2,27.0,12500.0,5,Dan Sullivan,Republican,AK,1337,S001198
"APPLIED MATERIALS, INC. -> Charles E. Schumer",5800.0,1,9.0,5800.0,1,Charles E. Schumer,Democrat,NY,1265,S000148
LEAGUE OF CONSERVATION VOTERS -> Martin Heinrich,5664.77,6,7.0,14188.3,15,Martin Heinrich,Democrat,NM,508,H001046
"HUNTINGTON INGALLS INDUSTRIES, INC. (FKA HUNTINGTON INGALLS INCORPORATED) -> Tim Kaine",5500.0,2,5.0,31500.0,11,Tim Kaine,Democrat,VA,697,K000384
"TRANSPORT WORKERS UNION OF AMERICA, AFL-CIO -> Maxwell Frost",5500.0,3,11.0,25000.0,9,Maxwell Frost,Democrat,FL,61,F000476
WALMART INC. -> Katherine M. Clark,5500.0,2,13.0,22500.0,9,Katherine M. Clark,Democrat,MA,1881,C001101
"AXON ENTERPRISE, INC. -> Scott Fitzgerald",5500.0,5,13.0,11000.0,9,Scott Fitzgerald,Republican,WI,1244,F000471
AMERICAN ACADEMY OF PHYSICIAN ASSOCIATES -> John Barrasso,5500.0,2,21.0,5500.0,2,John Barrasso,Republican,WY,288,B001261
"UNION PACIFIC CORPORATION -> Eric A. ""Rick"" Crawford",5250.0,2,35.0,28750.0,12,"Eric A. ""Rick"" Crawford",Republican,AR,1465,C001087
ALZHEIMER'S ASSOCIATION -> Paul Tonko,5103.45,3,3.0,11603.45,6,Paul Tonko,Democrat,NY,1340,T000469
AMERICAN ASSOCIATION OF NURSE PRACTITIONERS -> Adrian Smith,5000.0,1,0.0,17500.0,4,Adrian Smith,Republican,NE,305,S001172
BOEING COMPANY -> Chrissy Houlahan,5000.0,5,1.0,6250.0,7,Chrissy Houlahan,Democrat,PA,1942,H001085
"ENTERGY SERVICES, LLC -> Ted Cruz",5000.0,2,1.0,5000.0,2,Ted Cruz,Republican,TX,1231,C001098
NATIONAL THOROUGHBRED RACING ASSOCIATION -> Andy Barr,5000.0,1,1.0,30000.0,7,Andy Barr,Republican,KY,434,B001282
ASTRAZENECA PHARMACEUTICALS LP -> Bill Cassidy,5000.0,2,2.0,19000.0,8,Bill Cassidy,Republican,LA,1329,C001075
"NOVO NORDISK, INC. -> Bill Cassidy",5000.0,1,2.0,5000.0,1,Bill Cassidy,Republican,LA,1215,C001075
AMERICAN OPTOMETRIC ASSOCIATION -> Yvette D. Clarke,5000.0,1,2.0,37500.0,8,Yvette D. Clarke,Democrat,NY,660,C001067
NCTA - THE INTERNET & TELEVISION ASSOCIATION (FKA NAT'L CABLE & TELECOM ASSOC.) -> John Barrasso,5000.0,1,2.0,17500.0,4,John Barrasso,Republican,WY,75,B001261
BOEING COMPANY -> Tim Scott,5000.0,1,3.0,5000.0,1,Tim Scott,Republican,SC,1942,S001184
"AMAZON.COM SERVICES, INC. -> Jeanne Shaheen",5000.0,1,3.0,7750.0,3,Jeanne Shaheen,Democrat,NH,1225,S001181
AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE -> Kevin Cramer,5000.0,1,3.0,10000.0,2,Kevin Cramer,Republican,ND,145,C001096
MICROSOFT CORPORATION -> Brian Schatz,5000.0,1,4.0,18000.0,5,Brian Schatz,Democrat,HI,1875,S001194
CAMBIA HEALTH SOLUTIONS (FORMERLY KNOWN AS THE REGENCE GROUP) -> Patty Murray,5000.0,1,4.0,10500.0,3,Patty Murray,Democrat,WA,933,M001111
"AMERICAN OPTOMETRIC ASSOCIATION -> Earl L. ""Buddy"" Carter",5000.0,1,4.0,41000.0,12,"Earl L. ""Buddy"" Carter",Republican,GA,660,C001103
AMERICAN ASSOCIATION OF NURSE PRACTITIONERS -> Suzanne Bonamici,5000.0,1,4.0,15000.0,3,Suzanne Bonamici,Democrat,OR,305,B001278
