issue_code,issue_name,acts,press,act_per_press,inc_per_press_M,z_act,z_inc
GAM,Gaming/Gambling/Casino,1751.0,103.0,17.0,0.377,5.08,5.09
ART,Arts/Entertainment,1149.0,124.0,9.27,0.186,2.35,2.09
CSP,"Consumer Issues/Safety/Products",7398.0,797.0,9.28,0.174,2.35,1.9
CPT,Copyright/Patent/Trademark,5779.0,660.0,8.76,0.217,2.17,2.57
INS,Insurance,4821.0,591.0,8.16,0.167,1.96,1.79
SPO,Sports/Athletics,1275.0,175.0,7.29,0.198,1.65,2.28
CPI,"Computer Industry",6969.0,1089.0,6.4,0.15,1.33,1.53
COM,Communications/Broadcasting/Radio/TV,4532.0,744.0,6.09,0.151,1.23,1.54
MMM,Medicare/Medicaid,25816.0,4617.0,5.59,0.131,1.05,1.23
MED,"Medical/Disease Research/Clinical Labs",4507.0,818.0,5.51,0.091,1.02,0.6
AER,Aerospace,3040.0,608.0,5.0,0.094,0.84,0.64
TEC,Telecommunications,13136.0,2633.0,4.99,0.139,0.84,1.36
NAT,"Natural Resources",14452.0,2947.0,4.9,0.08,0.81,0.43
RES,"Real Estate/Land Use/Conservation",2764.0,597.0,4.63,0.076,0.71,0.37
BUD,Budget/Appropriations,88593.0,20071.0,4.41,0.064,0.63,0.17
ANI,Animals,2260.0,606.0,3.73,0.052,0.39,-0.01
TOB,Tobacco,1757.0,481.0,3.65,0.103,0.36,0.78
UTI,Utilities,2991.0,922.0,3.24,0.057,0.22,0.07
CAW,"Clean Air and Water (quality)",6469.0,2095.0,3.09,0.036,0.16,-0.26
DIS,"Disaster Planning/Emergencies",4374.0,1501.0,2.91,0.034,0.1,-0.3
URB,"Urban Development/Municipalities",5519.0,1909.0,2.89,0.038,0.09,-0.23
APP,"Apparel/Clothing Industry/Textiles",432.0,151.0,2.86,0.072,0.08,0.31
AVI,Aviation/Airlines/Airports,9172.0,3325.0,2.76,0.053,0.05,0.0
