registrant_name,registrant_id,q4_2024,q1_2025,abs_gain,score
"CONTINENTAL STRATEGY, LLC",401106285,891229.0,3591149.7599999993,2699921.0,303.0
"BALLARD PARTNERS, LLC",401104288,6130000.0,13870000.0,7740000.0,126.0
"A10 ASSOCIATES, LLC",401105040,1495000.0,3348333.33,1853333.0,124.0
CLARK HILL PUBLIC STRATEGIES LLC,401106670,230000.0,515000.0,285000.0,124.0
"MERCURY PUBLIC AFFAIRS, LLC",70175,2550000.0,5600000.0,3050000.0,120.0
"MILLER STRATEGIES, LLC",401104313,4010000.0,8740000.0,4730000.0,118.0
STONINGTON GLOBAL,401105189,645000.0,1365000.0,720000.0,112.0
"THE ARTEMIS GROUP, LLC (OKLAHOMA)",401108974,450000.0,910000.0,460000.0,102.0
PRICEWATERHOUSECOOPERS,10764,230000.0,460000.0,230000.0,100.0
CLARK STREET ASSOCIATES,401105692,320000.0,600000.0,280000.0,88.0
VANTAGEKNIGHT LLC,401104100,620000.0,1130000.0,510000.0,82.0
CHARTWELL STRATEGY GROUP LLC,401104750,520000.0,920000.0,400000.0,77.0
MICHAEL BEST STRATEGIES LLC,401103565,1180000.0,2080000.0,900000.0,76.0
MAYER BROWN LLP,24123,710000.0,1190000.0,480000.0,68.0
CAPITOL CONSULTING GROUP LLC (DC),401104937,270000.0,440000.0,170000.0,63.0
"PHRONESISDC, LLC",401108637,690000.0,1120000.0,430000.0,62.0
LMH STRATEGIC SOLUTIONS,401108183,210000.0,330000.0,120000.0,57.0
"CGCN GROUP, LLC",76992,2585000.0,4025000.0,1440000.0,56.0
SIDLEY AUSTIN LLP,35230,610000.0,945000.0,335000.0,55.0
FORWARD GLOBAL,401105597,215000.0,320000.0,105000.0,49.0
S-3 GROUP,400774330,3770000.0,5590000.0,1820000.0,48.0
"MELTSNER STRATEGIES, LLC",401079030,284400.0,419400.0,135000.0,47.0
THOMPSON COBURN LLP,47110,325000.0,470000.0,145000.0,45.0
"MCALLISTER & QUINN, LLC",292573,1050000.0,1520000.0,470000.0,45.0
NOSSAMAN LLP,29846,250000.0,360000.0,110000.0,44.0
SALT POINT STRATEGIES,401105514,820000.0,1180000.0,360000.0,44.0
THE WASHINGTON TAX & PUBLIC POLICY GROUP,294930,1350000.0,1930000.0,580000.0,43.0
FS VECTOR LLC,401105148,946000.0,1356000.0,410000.0,43.0
"TIDES GROUP, LLC",401105835,350000.0,500000.0,150000.0,43.0
"ICEBREAKER STRATEGIES, LLC",401107574,630000.0,900000.0,270000.0,43.0
KELLER PARTNERS & COMPANY,401104408,1030000.0,1440000.0,410000.0,40.0
"NAVIGATORS GLOBAL LLC (FORMERLY DC NAVIGATORS, LLC)",85071,1460000.0,2030000.0,570000.0,39.0
"RED MAPLE CONSULTING, LLC",400382761,270000.0,370000.0,100000.0,37.0
"RBW GROUP, LLC",401107033,300000.0,410000.0,110000.0,37.0
STEPTOE LLP,36710,1060000.0,1440000.0,380000.0,36.0
VIKING NAVIGATION LLC,401104539,830000.0,1130000.0,300000.0,36.0
BRIAN GLACKIN & ASSOCIATES LLC,401105227,360000.0,490000.0,130000.0,36.0
MCCARTHY ADVANCED CONSULTING LLC,401104683,480000.0,650000.0,170000.0,35.0
AXADVOCACY GOVERNMENT RELATIONS,401107432,860000.0,1160000.0,300000.0,35.0
"REPUBLIC CONSULTING, LLC",401016871,420000.0,560000.0,140000.0,33.0
CAPITOL INTEGRATION,401103144,300000.0,400000.0,100000.0,33.0
AMERICAN DEFENSE INTERNATIONAL,2194,1570000.0,2080000.0,510000.0,32.0
FRANKLIN CREEK CONSULTING,317732,237000.0,312000.0,75000.0,32.0
CAPITOL 6 ADVISORS,401105551,227500.0,300000.0,72500.0,32.0
BAKER & HOSTETLER LLP,5131,1050000.0,1380000.0,330000.0,31.0
"VAN NESS FELDMAN, LLP",39815,485000.0,635000.0,150000.0,31.0
"FEDERAL POLICY GROUP, LLC",72975,310000.0,400000.0,90000.0,29.0
"1607 STRATEGIES, LLC",401105461,462500.0,597000.0,134500.0,29.0
LODESTONE DC,401107308,210000.0,270000.0,60000.0,29.0
AMERICAN CAPITOL GROUP,305852,275000.0,350000.0,75000.0,27.0
