lobbyist_name,registrant_name,rr_covered_position,rr_filing_year,n_subsequent_quarterlies,n_subsequent_with_disclosure,redisclosed_ever
"CARL KIME","INNOVATIVE FEDERAL STRATEGIES, LLC","Appropriaitons Associate, Rep. Jerry Lewis",2022,946,0,0
"JEFFREY FORBES",FORBES-TATE,"Staff Director, Senate Finance Committee (2003); Chief of Staff, Sen. Max Baucus (1999-2002)",2022,853,0,0
"ERIC ZULKOSKY","FIERCE GOVERNMENT RELATIONS","Director of Member Services, Majority Whip Steve Scalise, LD, Rep. Scalise, LA, Rep. Scalise, LA, Sen. Johanns, LC, Sen. Johanns, LC Sen. Dole, Mail Manager, Sen. Dole, Staff Assistant, Sen. Dole",2022,759,0,0
"ALEIX JARVIS","FIERCE GOVERNMENT RELATIONS","Legislative Director, Senator Lindsey Graham, Legislative Director, Congressman Lindsey Graham, Legislative Assistant, Congressman Lindsey Graham, Staff Assistant, Congressman Charles Taylor",2022,653,0,0
"DAWN SEARS","PORTERFIELD, FETTIG & SEARS, LLC","Legislative Fellow, Senate Judiciary Committee; Legislative Counsel, Rep. Terry",2022,509,0,0
"LENDELL PORTERFIELD","PORTERFIELD, FETTIG & SEARS, LLC","Senior Advisor, Senate Committee on Banking, Housing, and Urban Affairs",2022,505,0,0
"BRYAN CUNNINGHAM","POLARIS GOVERNMENT RELATIONS, LLC","LC Sen. Gregg; Intern, Sen. Bennett; Policy Advsr & LA, Sen Ensign; LA Rep LoBiondo.",2022,483,0,0
"DANIEL GANS","POLARIS GOVERNMENT RELATIONS, LLC","Intern, Rep. McMillan; COS, Rep Riley; LD, Rep Martini; Sr LA, Rep. Franks.",2022,475,0,0
"TRACY SPICER","AVENUE SOLUTIONS","Deputy Chief of Staff, Political Director, Legislative Assistant, Special Assistant, Staff Assistant - Sen. Edward Kennedy",2022,448,0,0
"WILLIAM SIMMONS","DUTKO WORLDWIDE, LLC","L.A., Rep. J. Hansen; Professional Staff for House Resources Cmte.; Staff Dir., House Resources Cmte. Subcommittee on Forests and Forest Health",2022,447,0,0
"MALLOY MCDANIEL","WEST FRONT STRATEGIES LLC","Policy Advisor, Senate Minority Leader Mitch McConnell; Whip Liaison, Senate Majority Whip Mitch McConnell; Floor Assistant, Senate Majority Leader Trent Lott; Cloakroom Assistant, Office of the Republican Secretary",2022,396,0,0
"KRISTI REMINGTON","WEST FRONT STRATEGIES LLC","Deputy Assistant Attorney General, US Department of Justice; Senior Counsel, House Government Reform Committee",2022,379,0,0
"ALEXANDER STERNHELL","STERNHELL GROUP","Deputy Staff Director/Sr. Policy Advisor, US Senate Committee on Banking, Housing, and Urban Affairs; Leg. Director, Rep. James Maloney",2022,375,0,0
"DAVID SCHIAPPA","THE DUBERSTEIN GROUP INC.","US Senate-Assistant Secretary for the Majority; US Senate-Secretary for the Majority/Secretary for the Minority",2022,372,0,0
"JENNIFER READ","PORTERFIELD, FETTIG & SEARS, LLC","Deputy Chief Counsel, House Financial Services Committee; Senior Counsel, House Financial Services Committee; Counsel, House Financial Services Committee; Presidential Management Fellow, U.S. Department of Housing and Urban Affairs",2022,305,0,0
"KATHERINE KEATING","THE DUBERSTEIN GROUP INC.","Chief of Staff to Rep. Joseph Crowley, House Democratic Caucus (5/2007-12/2018) Staffer, Labor-HHS-Education Appropriations Subcommittee (1/2005-4/2007) Legislative Director to Rep. Allyson Schwartz, Ways and Means Committee (9/99-12/04",2022,294,0,0
"KATE HALLAHAN","TEAM HALLAHAN LLC","2006-16, US House: Dem Clerk, Trans Approp SubCmte; 2001-06, US Senate Prof Staff, Sen Trans Approp SubCmte); 2000-01, FAA Dpty Asst Admnstr for Gov & Industry Affairs; 1997-2000, US DoT, Sr Policy Advsr; 1996-97, US DoT: Spec. Asst to the Secy.",2022,286,0,0
"ELIZABETH BARNETT","AVENUE SOLUTIONS","Legislative Assistant, Speechwriter, Legislative Correspondent - Sen. Blanche Lincoln; Staff Assistant - Senate Energy and Natural Resource Committee",2022,277,0,0
"BENJAMIN QUAYLE","VENTURE GOVERNMENT STRATEGIES, LLC (FKA HOBART HALLAWAY & QUAYLE VENTURES, LLC)","Member of the U.S. House of Representatives",2022,266,0,0
"BRADLEY MOLLET","CAPITOL COUNSEL LLC","Staff & Research Assistant, Sen. Tim Johnson; Legislative Assistant, Rep. Jim Matheson; Legislative Director, Rep. Betsy Markey.",2022,250,0,0
"AARON SZABO","CGCN GROUP, LLC","Analyst, Nuclear Regulatory Commission, 2008 - 2014;
Policy Analyst, Office of Information and Regulatory Affairs, Office of Management and Budget, 2014-2017;
Senior Counsel, Council on Environmental Quality, 2017-2018",2022,244,0,0
"WARD CORMIER","THE PICARD GROUP, LLC","Rep. Clay Higgins, Deputy Chief of Staff (2017-2022); Policy Advisor to Chairman Vitter (2015-2017); Staff Member to Ranking Member Vitter (2013-2015); Legislative Correspondent to Senator Vitter (2011-2013)",2022,236,0,0
"WILLIAM BROYDRICK","BROYDRICK & ASSOCIATES","Principal Lobbyist",2024,217,0,0
"MATTHEW MCGINLEY","ADVANCED POLICY CONSULTING, LLC","Chief of Staff, Rep. Tom Price; Chief of Staff, Republican Policy Committee; DCOS & LD, Rep. Brian Kerns",2022,216,0,0
"BRIAN WORTH","FRANKLIN SQUARE GROUP, LLC","Coalitions Director - House Republican Whip (Rep. Kevin McCarthy); Assistant Administrator for Congressional & Legislative Affairs - SBA; Legislative Assistant, Legislative Correspondent - Rep. David Hobson",2022,206,0,0
