registrant_name,registrant_id,dup_groups,excess_filings,score
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",7257,14,14,950000.0
BRACEWELL LLP,6837,10,12,940000.0
"ATS COMMUNICATIONS, INC. (DBA SILBEY STRATEGIES)",400400892,27,29,860000.0
BGR GOVERNMENT AFFAIRS,5357,12,12,810000.0
S-3 GROUP,400774330,15,15,770000.0
PRICEWATERHOUSECOOPERS,10764,11,11,720000.0
FARRAGUT PARTNERS LLP,401103938,16,16,640000.0
THORN RUN PARTNERS,400534596,18,18,620000.0
HB STRATEGIES (FKA HUSCH BLACKWELL STRATEGIES),401104718,11,12,570000.0
J.A. GREEN AND COMPANY (FORMERLY LLC),313511,14,14,550000.0
"BALLARD PARTNERS, LLC",401104288,7,7,530000.0
"TARPLIN, DOWNS & YOUNG, LLC",304736,7,7,510000.0
WILMER CUTLER PICKERING HALE AND DORR LLP,41534,4,4,500000.0
"MERCURY PUBLIC AFFAIRS, LLC",70175,6,6,380000.0
"POLARIS GOVERNMENT RELATIONS, LLC",307730,6,6,370000.0
BOUNDARY STONE PARTNERS,401104556,7,8,370000.0
SQUIRE PATTON BOGGS,30906,3,3,360000.0
STEPTOE LLP,36710,7,7,360000.0
COVINGTON & BURLING LLP,11195,3,3,350000.0
KILPATRICK TOWNSEND AND STOCKTON,21563,7,8,349000.0
ALSTON & BIRD LLP,1182,5,5,320000.0
"MERCHANT MCINTYRE & ASSOCIATES, LLC",401104322,15,15,310000.0
"CORNERSTONE GOVERNMENT AFFAIRS, INC.",75557,8,9,300000.0
FGS GLOBAL (US) LLC (FKA FGH HOLDINGS LLC),86196,7,7,300000.0
THE BERNHARDT GROUP LLC,401109653,3,4,280000.0
"THE RUSSELL GROUP, INC.",22688,5,5,270000.0
MG HOUSING STRATEGIES LLC,401105996,7,8,250000.0
COLTON STREET GROUP,401108016,1,1,250000.0
FULCRUM PUBLIC AFFAIRS LLC,401105159,5,6,240000.0
HART HEALTH STRATEGIES,84673,6,6,230000.0
KELLEY DRYE & WARREN LLP,307114,3,3,230000.0
"ELEVATE GOVERNMENT AFFAIRS, LLC",401105417,6,6,230000.0
FTI GOVERNMENT AFFAIRS,401054971,4,4,225000.0
"GUIDEPOSTSTRATEGIES, LLC",401104428,3,4,220000.0
STRATEGIC MARKETING INNOVATIONS,60550,9,9,200000.0
"CAPITOL TAX PARTNERS, LLP",65976,3,3,190000.0
INVARIANT LLC,314237,2,2,190000.0
MCDERMOTT WILL & SCHULTE LLP,24338,1,3,180000.0
"CONTINENTAL STRATEGY, LLC",401106285,2,2,180000.0
"LEWIS-BURKE ASSOCIATES, LLC",22781,5,5,170000.0
SMITH GARSON,35707,8,8,170000.0
VAN SCOYOC ASSOCIATES,39837,1,1,170000.0
CAPITOL HILL CONSULTING GROUP,72053,5,5,170000.0
"HARBINGER STRATEGIES, LLC",401103523,3,3,170000.0
LOT SIXTEEN LLC,401104641,3,3,170000.0
THE ROOSEVELT GROUP,400886595,3,3,165000.0
AKIN GUMP STRAUSS HAUER & FELD,682,4,4,160000.0
SPIRIT ROCK CONSULTING,400507495,3,4,160000.0
"ROBERTI GLOBAL (F/K/A ROBERTI WHITE, LLC)",400762305,2,2,160000.0
"ROBERTSON, MONAGLE, & EASTAUGH LLC (FKA ROBERTSON, MONAGLE & EASTAUGH PC)",33454,12,12,153399.0
