registrant_name,client_name,filing_year,quarter,senate_income_sum,house_income_sum,score,senate_filing_uuids,house_filing_ids
SPIRIT ROCK CONSULTING,SHINGLE SPRINGS RANCHERIA,2023,Q4,120000.0,642000.0,522000.0,"b4aea023-b64a-4fa6-b5c4-f9eca6a166dd,c089f417-91ea-4467-8907-29a1665810e0","301544165,301544187,301544180,301544182,301544178,301544181,301544184,301544168,301544172,301544185,301604886,301568411,301544183,301544188,301544186"
SQUIRE PATTON BOGGS,MARS INCORPORATED,2024,Q3,540000.0,270000.0,270000.0,"d5797fb7-d60b-4f0c-b1f0-6acc835a5e58,1dc37320-4b46-43b0-b350-6a53233ebd71",301618344
WILMER CUTLER PICKERING HALE AND DORR LLP,AMERICAN SOCIETY OF MECHANICAL ENGINEERS,2024,Q3,500000.0,250000.0,250000.0,"b73a5492-0cfc-40c7-8581-c899a813d478,fd4093be-82c1-4ea1-86b6-eb21b4da6cfd",301632327
COLTON STREET GROUP,THE BLACKSTONE GROUP,2025,Q1,500000.0,250000.0,250000.0,"2cfdc6ab-9887-4860-ad36-d73862511f94,2bf6f939-60ca-437f-bdb9-77bce90e564e",301726823
BRACEWELL LLP,NAVIGATOR CO2 VENTURES LLC,2022,Q4,480000.0,240000.0,240000.0,"c9a5d43c-e8da-465d-9d78-3f0a2bf686b3,1043d9b8-25f4-4c98-bff8-bd7cb51c1992",301442079
THE BERNHARDT GROUP LLC,EQUINOR US OPERATIONS LLC FKA EQUINOR,2025,Q4,330000.0,110000.0,220000.0,"f3b10d50-b51b-400f-8c62-5a16087983ac,0cfeec44-3da2-4b98-ba28-2a6583df9078,6a014856-b187-4a4c-9cde-c3c06b5025f9",301842591
SPIRIT ROCK CONSULTING,SHINGLE SPRINGS RANCHERIA,2024,Q1,60000.0,270000.0,210000.0,c7a4beed-927a-4346-9407-f9c0652b79a4,"301578604,301568409,301568421,301604887"
"MERCURY PUBLIC AFFAIRS, LLC",NATIONAL PUBLIC FINANCE GUARANTEE CORPORATION,2023,Q2,380000.0,190000.0,190000.0,"181e1e52-42fb-474e-a630-ccca2cc7c83f,6bd6244c-d6d6-46d3-9020-33362a61317a,0535af81-a006-4572-9a91-e4f27e195dca,d6bc1730-f173-4b57-92d2-ae464ca85c53","301487826,301492997"
"LEWIS-BURKE ASSOCIATES, LLC","UNIVERSITY AT ALBANY, SUNY DBA THE RESEARCH FOUNDATION",2024,Q2,60000.0,240000.0,180000.0,c7d6ef63-78b2-48aa-ae80-763c9dee36d7,"301589380,301638077,301606413,301638794"
MCDERMOTT WILL & SCHULTE LLP,AMERICAN ACADEMY OF SLEEP MEDICINE,2022,Q4,240000.0,60000.0,180000.0,"d582f753-54cb-44aa-9fa9-b350503845e5,0ab1d907-547a-4ba2-bb3a-93b6dd311720,05d67578-feda-46ba-bc33-4cc6ffd51c7b,35271e9a-54ac-4db2-8aa9-1e064f9d2521",301427118
INVARIANT LLC,PALANTIR TECHNOLOGIES INC.,2024,Q1,360000.0,180000.0,180000.0,"c75a4886-ba7a-4208-be1b-1fcc96086d44,41893063-0422-45f2-9f3d-5cad9164c42a",301569455
VAN SCOYOC ASSOCIATES,COMMUNITY FOUNDATION AWARENESS INITIATIVE (INFORMAL COALITION),2022,Q3,340000.0,170000.0,170000.0,"499bf9ae-e2a3-49fa-8e83-0502229fdb50,065f23eb-cf8f-4cc7-98a1-223ed201769e",301423821
COVINGTON & BURLING LLP,"SK AMERICAS, INC.",2024,Q2,320000.0,160000.0,160000.0,"00dcc7a7-a614-4744-ac6f-11c10064e2c3,5aa1dc99-c57b-420d-8c1c-a8472839984a",301599634
COVINGTON & BURLING LLP,"CHURCH COMMUNITIES, INC.",2025,Q2,320000.0,160000.0,160000.0,"a16a4cd2-3c29-406b-a8c6-7f965437e309,a8e83215-d6b7-4dcd-a90b-c844e6ba7bee",301748345
HB STRATEGIES (FKA HUSCH BLACKWELL STRATEGIES),"CJ LAKE, LLC (ON BEHALF OF ALAMEDA COUNTY TRANSPORTATION COMMISSION)",2022,Q4,15000.0,175000.0,160000.0,"0fc2a485-1e6e-40a3-9c40-cf9fd111fb71,683343aa-c17f-4590-a288-16d3207271ce","301442670,301443032,301447075,301445674,301442952"
WILMER CUTLER PICKERING HALE AND DORR LLP,AMERICAN SOCIETY OF MECHANICAL ENGINEERS,2025,Q1,300000.0,150000.0,150000.0,"d56392a2-5598-4408-b3af-ce348f3fcd90,4061f23b-782d-460a-a98d-8937d120fc3d",301724577
MISSION STRATEGIES LLC (ENERGY),TS CONDUCTOR,2025,Q4,60000.0,210000.0,150000.0,"ba772d45-a8c1-47d2-a5b1-c7cd016fd616,4847cd1a-84c8-496d-b6b8-d11d7475c814","301822277,301822262"
KILPATRICK TOWNSEND AND STOCKTON,RECOVER ENERGY,2023,Q4,210000.0,70000.0,140000.0,"195ee190-d426-4133-91cc-f20cf3aaae9d,9c72596a-f030-4343-b61b-ae39b72b2e6e,126b4c80-84e7-4c37-be75-075e0f222062",301541944
"MERCURY PUBLIC AFFAIRS, LLC",YEALINK (XIAMEN) NETWORK TECHNOLOGY CO. LTD.,2022,Q2,280000.0,140000.0,140000.0,"8ca2c2a9-6a47-4f71-95a6-a253ffa05805,1ddbe9f1-613b-4a19-b7aa-1478bd2263f2,e31ccb7a-08ca-455e-83db-97432c8dd57e",301386865
"MERCURY PUBLIC AFFAIRS, LLC",CORAL ENERGY,2023,Q4,420000.0,280000.0,140000.0,"87a95dc0-b5c7-4967-9954-4317e0924200,104570b3-f3e3-4f9e-b8a4-d472c1fda765,4c3f06dc-fa7d-458c-991b-a3de74ca4ffa","301532785,301532686"
"ATS COMMUNICATIONS, INC. (DBA SILBEY STRATEGIES)",PANTHEON DATA (FKA THE KENIFIC GROUP),2024,Q2,210000.0,70000.0,140000.0,"36f732ee-106d-416d-80d1-58b98bece539,20c5a32e-aa30-4dd1-8327-54e775163d9f,8781a3d8-e008-4db1-897c-5a728b442ac4",301580829
SIRONA STRATEGIES LLC,ALLIANCE FOR CONNECTED CARE,2022,Q3,270000.0,135000.0,135000.0,"ae7cab04-cd08-444c-9d77-6e4559b69a6c,6c682ef9-e025-45c4-b17c-6187bbaca28c",301421206
BRACEWELL LLP,ENERGY FORWARD,2022,Q2,260000.0,130000.0,130000.0,"6558dcd8-e954-441f-8f02-58bac31cc97d,13cee7d8-2ad8-49d3-b956-a123a35a3b4e",301395068
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",NAVAJO NATION,2025,Q3,260000.0,130000.0,130000.0,"61b2c63e-82d5-4e4d-830a-e7660df2559d,bdc2856d-43c2-4e20-a546-f473b3465b60",301789484
