Bill,Date,Chamber,All Actions
H.R.759 — 116th Congress (2019-2020),12/17/2019,Senate,Read twice and referred to the Committee on Indian Affairs.
H.R.759 — 116th Congress (2019-2020),07/25/2019,Senate,Received in the Senate.
H.R.759 — 116th Congress (2019-2020),07/24/2019-9:48pm,House,Motion to reconsider laid on the table Agreed to without objection.
H.R.759 — 116th Congress (2019-2020),07/24/2019-9:48pm,House,"On motion to suspend the rules and pass the bill, as amended Agreed to by voice vote. (text: CR H7361)"
H.R.759 — 116th Congress (2019-2020),07/24/2019-9:35pm,House,DEBATE - The House proceeded with forty minutes of debate on H.R. 759.
H.R.759 — 116th Congress (2019-2020),07/24/2019-9:35pm,House,Considered under suspension of the rules. (consideration: CR H7361-7364)
H.R.759 — 116th Congress (2019-2020),07/24/2019-9:35pm,House,"Mr. San Nicolas moved to suspend the rules and pass the bill, as amended."
H.R.759 — 116th Congress (2019-2020),07/22/2019,House,"Placed on the Union Calendar, Calendar No. 125."
H.R.759 — 116th Congress (2019-2020),07/22/2019,House,Reported by the Committee on Natural Resources. H. Rept. 116-165.
H.R.759 — 116th Congress (2019-2020),06/19/2019,House,"Ordered to be Reported by Voice Vote. 
  Action By: Committee on Natural Resources"
H.R.759 — 116th Congress (2019-2020),06/19/2019,House,"Committee Consideration and Mark-up Session Held. 
  Action By: Committee on Natural Resources"
H.R.759 — 116th Congress (2019-2020),06/19/2019,House,"Subcommittee for Indigenous Peoples of the United States Discharged. 
  Action By: Committee on Natural Resources"
H.R.759 — 116th Congress (2019-2020),02/12/2019,House,"Referred to the Subcommittee for Indigenous Peoples of the United States. 
  Action By: Committee on Natural Resources"
H.R.759 — 116th Congress (2019-2020),01/24/2019,House,Referred to the House Committee on Natural Resources.
H.R.759 — 116th Congress (2019-2020),01/24/2019,House,Introduced in House
H.R.2208 — 117th Congress (2021-2022),05/13/2021,Senate,Received in the Senate and Read twice and referred to the Committee on Indian Affairs.
H.R.2208 — 117th Congress (2021-2022),05/12/2021-2:10pm,House,Motion to reconsider laid on the table Agreed to without objection.
H.R.2208 — 117th Congress (2021-2022),05/12/2021-2:10pm,House,On motion to suspend the rules and pass the bill Agreed to by voice vote. (text: CR H2225)
H.R.2208 — 117th Congress (2021-2022),05/12/2021-1:59pm,House,DEBATE - The House proceeded with forty minutes of debate on H.R. 2208.
H.R.2208 — 117th Congress (2021-2022),05/12/2021-1:59pm,House,Considered under suspension of the rules. (consideration: CR H2225-2226)
H.R.2208 — 117th Congress (2021-2022),05/12/2021-1:59pm,House,Mr. Soto moved to suspend the rules and pass the bill.
H.R.2208 — 117th Congress (2021-2022),05/06/2021,House,"Referred to the Subcommittee for Indigenous Peoples of the United States. 
  Action By: Committee on Natural Resources"
H.R.2208 — 117th Congress (2021-2022),03/26/2021,House,Referred to the House Committee on Natural Resources.
H.R.2208 — 117th Congress (2021-2022),03/26/2021,House,Introduced in House
S.4196 — 117th Congress (2021-2022),05/12/2022,Senate,Read twice and referred to the Committee on Indian Affairs. 
H.R.2873 — 118th Congress (2023-2024),05/22/2023,,"Referred to the Subcommittee on Indian and Insular Affairs . 
  Action By: Committee on Natural Resources"
H.R.2873 — 118th Congress (2023-2024),04/26/2023,,"Referred to the House Committee on Natural Resources. 
  Action By: House of Representatives"
H.R.2873 — 118th Congress (2023-2024),04/26/2023,,"Introduced in House 
  Action By: House of Representatives"
S.1536 — 118th Congress (2023-2024),05/10/2023,,"Read twice and referred to the Committee on Indian Affairs. 
  Action By: Senate"
H.R.3723 — 119th Congress (2025-2026),06/04/2025,,"Referred to the House Committee on Natural Resources. 
  Action By: House of Representatives"
H.R.3723 — 119th Congress (2025-2026),06/04/2025,,"Introduced in House 
  Action By: House of Representatives"
S.2564 — 119th Congress (2025-2026),07/31/2025,,"Read twice and referred to the Committee on Indian Affairs. 
  Action By: Senate"
