activity_id,filing_uuid,registrant_id,client_id,filing_year,filing_period,dt_posted,stance_label,stance_confidence,source,cohort,is_canonical
642,86b684a2-67c4-46f8-95bc-d750716d4b19,401106405,213706,2022,first_quarter,2022-02-08T10:42:23-05:00,unclear,0.5,agreed,established,0
1368,4b2c2ac2-a86d-4187-b229-0e5224f4ef37,401106079,45417,2022,first_quarter,2022-03-08T12:19:23-05:00,unclear,0.9,agreed,established,1
1985,76391a6a-4e95-419a-84a9-47910e260b23,314432,184995,2022,first_quarter,2022-03-29T12:39:06-04:00,unclear,0.9,agreed,established,1
2091,3cc1080b-3adb-47ce-8c28-6222fd9e21dd,40006037,187506,2022,first_quarter,2022-03-31T12:13:19-04:00,relief,0.95,agreed,established,1
2118,07ffba1a-b710-46a9-8e76-b8e73dc92163,46038,50832,2022,first_quarter,2022-03-31T18:53:09-04:00,unclear,0.95,agreed,established,0
2208,9edbbd2d-d77c-475a-87a5-cbb75bb9c0dc,401106437,213852,2022,first_quarter,2022-04-01T11:24:38-04:00,unclear,0.4,opus,established,1
3053,02f94503-d08c-4d39-988b-ccef54b83c2d,401104687,202364,2022,first_quarter,2022-04-06T17:10:01-04:00,unclear,0.5,agreed,unknown,1
3445,699a237d-3902-461d-9b8d-839d0546cb1e,400670003,206111,2022,first_quarter,2022-04-08T10:27:47-04:00,protection,0.9,opus,established,1
3540,e70ff85c-bc95-4cc2-a19d-7ff41ef836fc,400661993,210126,2022,first_quarter,2022-04-08T11:52:55-04:00,unclear,0.4,agreed,established,1
3572,087fc963-4163-4796-b79d-cf907636cf9b,57338,159975,2022,first_quarter,2022-04-08T13:13:34-04:00,unclear,0.5,agreed,established,1
3596,5ac3abd9-2610-47f5-bf13-383dde39fe9e,7975,111010,2022,first_quarter,2022-04-08T14:30:22-04:00,unclear,0.4,agreed,established,1
4733,237d9230-a112-4e9c-a4fb-c93bca5dd97f,401103903,200360,2022,first_quarter,2022-04-12T10:17:49-04:00,relief,0.82,agreed,established,0
5053,b50f4754-e999-4b54-b5a9-d34fecfe6469,36366,145446,2022,first_quarter,2022-04-12T13:25:10-04:00,unclear,0.4,agreed,established,1
5211,a6f4193d-a14f-4939-ad1b-3aee756944cf,28504,134535,2022,first_quarter,2022-04-12T15:53:01-04:00,relief,0.95,agreed,established,1
5516,a8f8178e-dbce-4498-a19f-3435b4195bec,401104010,200631,2022,first_quarter,2022-04-13T09:59:34-04:00,unclear,0.5,agreed,established,1
5812,5d777969-293f-46b4-98ed-5a85e167cc2c,30906,137719,2022,first_quarter,2022-04-13T14:12:37-04:00,relief,0.65,opus,established,1
6429,8438b2bd-f2b8-4583-bd8d-14a89da6f810,401025893,51049,2022,first_quarter,2022-04-14T10:04:05-04:00,unclear,0.9,agreed,new2025_genuine,1
6831,4ab87f75-2b4b-462e-939a-fb443c9865ae,35230,143841,2022,first_quarter,2022-04-14T13:16:00-04:00,unclear,0.5,agreed,established,1
6834,f3c6078b-cc12-4816-a6b0-208d83d08991,35230,143832,2022,first_quarter,2022-04-14T13:17:13-04:00,relief,0.7,opus,established,1
6927,00b06fb6-1ded-4b95-a022-76f47a946787,35230,143843,2022,first_quarter,2022-04-14T13:36:16-04:00,unclear,0.5,agreed,established,1
